setting	runtime_field	settings_widget_control	persisted_field	player_effect
ExpandedAccessibilityOptions	Settings widget controls + persistent save fields	Settings menu plus Apply, Reset Accessibility Defaults, and Export Control Profile	Existing accessibility, audio, and control-profile save fields	Provides a single audited options set for subtitles, subtitle size, UI text size, high contrast, color vision, reduced motion, simplified hints, aim assist, settings readouts, reset defaults, and control profile export.
FirstSessionRoutePreviewAccessibility	FirstSessionRoutePreviewText + GetFirstSessionRoutePreviewSummary	Launch-only start screen route preview and fallback world prompt	SelectedLanguage, language save existence, first campaign mission, save slot helper, and high-contrast terminal-green copy	Uses text-first FIRST-SESSION ROUTE PREVIEW, language-only save slot, NEW/RESUME contract, protected terminal -> survivor marker -> extraction route copy, and beginner/normal/challenge tuning band so language selection is understandable before active play.
Subtitles	bSubtitlesEnabled	Subtitles checkbox	bSubtitlesEnabled	Enables or suppresses subtitle queue output.
SubtitleSize	SubtitleScale	Subtitle Size slider	SubtitleScale	Scales subtitle font size from 0.75x to 1.75x.
UITextSize	UITextScale	UI Text Size slider	UITextScale	Scales shared menu, HUD, terminal, journal, save, fast-travel, minimap, tutorial, damage feedback, pause, and end-state UI text from 0.80x to 1.75x without changing subtitle font size.
SubtitleLiveRefresh	bSubtitlesEnabled + SubtitleScale	Settings Apply + active subtitle overlay	Existing subtitle save fields	Refreshes active subtitle font scale and clears visible captions immediately when subtitles are disabled.
HighContrastHUD	bHighContrastHUD	High Contrast HUD checkbox	bHighContrastHUD	Raises live HUD text contrast during refresh.
HUDVitalsAccessibility	bHighContrastHUD + UITextScale	Health/stamina HUD vitals	Existing high-contrast and UI text-scale save fields	Uses scalable themed health text, high-contrast health/stamina colors, and explicit STABLE/LOW/CRITICAL health state labels.
MinimapRouteAccessibility	bHighContrastHUD + UITextScale + bReducedMotion	HUD minimap route scanner	Existing accessibility save fields	Theme-styles the minimap with scalable title/legend text, high-contrast category dots, a reduced-motion refresh cadence, active language context, and a text-first nearest-objective route cue.
ObjectiveRouteToastAccessibility	bHighContrastHUD + UITextScale + bReducedMotion + bVisualizeSoundCues	HUD objective route toast	Existing accessibility save fields	Uses high-contrast colors, shared UI text styling, Reduced Motion stable alpha, and a visualized-sound-cue brightness handoff so Terminal solved, Extraction ready, and CHECKPOINT SAVED feedback remains readable without audio or motion dependence.
FieldChecklistHUDAccessibility	bHighContrastHUD + UITextScale	HUD FIRST TEN MINUTES FIELD CHECKLIST	SelectedLanguage, language save slot, active mission, solved terminal state, rescued survivor state, and existing accessibility save fields	Uses auto-wrap, compact text, high-contrast color alternatives, track-only save copy, protected terminal -> survivor marker -> extraction route shape, and phase-specific recovery keys so first-route guidance remains readable during live play.
DamageFeedbackAccessibility	bHighContrastHUD + bReducedMotion	Settings Apply + active damage overlay	Existing high-contrast and reduced-motion save fields	Refreshes active damage chevrons/vignette with high-contrast amber cues and steady reduced-motion hit flashes.
ReducedMotion	bReducedMotion	Reduced Motion checkbox	bReducedMotion	Reduces enemy-hit knockback displacement.
HeadshotReducedMotion	bReducedMotion + bHighContrastHUD	HUD precision-hit feedback	Existing reduced-motion and high-contrast save fields	Replaces the headshot pop/fade with a longer fixed precision-hit readout and high-contrast amber text when enabled.
ObjectiveJournalAccessibility	bHighContrastHUD + UITextScale + bReducedMotion	Objective journal overlay	Existing accessibility save fields	Theme-styles the route journal with text-first state labels, active objective summary, survivor intel dossier, survivor intel archive, case-file collection summary, scalable rows, high-contrast colors, and reduced blur motion.
RadioScanBeaconAccessibility	bReducedMotion	Objective focus beacon radio scan and rescue beacon	Existing reduced-motion save field	Slows procedural scan/sweep/ping/halo motion while preserving text-first RADIO SCAN, SURVIVOR PING, and RESCUE BEACON labels.
CityRadioBarkCadenceAccessibility	PendingQueue + Radio Relay subtitle	City radio briefing, route relay, and survivor bark subtitle queue	Existing subtitle toggle, subtitle scale, and high-contrast styling	Buffers early radio/bark subtitles until the HUD exists, then applies subtitle toggle, subtitle scale, and high-contrast styling so route-state audio feedback remains text-first.
ReactiveThreatAudioMusicAccessibility	MusicVolume + subtitle settings + protected learning state	Reactive threat music and audio-state captions	Existing music volume, subtitle toggle, subtitle scale, and high-contrast styling	Scales only the existing music component and mirrors state changes through [Audio] captions so threat music never carries critical information alone.
CityAmbientZoneAudioAccessibility	Audio mix summary + subtitle settings + selected-language progress	City ambient zone labels and future ZoneAmbientCues bed keys	Existing audio summary, subtitle toggle, subtitle scale, high-contrast styling, and selected-language save state	Mirrors ambient-zone changes through [Ambient] captions and stable bed keys so spatial ambience remains reviewable before mono/visualize-sound assets are authored.
VisualizedSoundCuesAccessibility	bVisualizeSoundCues + ReactiveThreatMusicIntensity + CityAmbientZoneIntensity	HUD VisualizedSoundCueText and Settings checkbox	bVisualizeSoundCues	Mirrors threat music, zone ambient, and caption state through a saved HUD readout so important audio awareness is never hearing-only.
MonoAudioAccessibility	bMonoAudio + bVisualizeSoundCues + centered project SFX	Settings Mono Audio checkbox plus Apply refresh	bMonoAudio	Centers project-owned positional SFX, disables spatialization on active runtime ambient/growl components, and keeps visual sound cues enabled so directional awareness is not hearing-only.
TerminalDiegeticAccessibility	bHighContrastHUD + UITextScale + bReducedMotion	Coding terminal overlay	Existing accessibility save fields	Styles the terminal with scalable monospace code, high-contrast panel/editor fills, reduced blur, and explicit diagnostics state text.
SkillTreeProgressionAccessibility	bHighContrastHUD + UITextScale + bReducedMotion	Skill tree overlay	Existing accessibility save fields	Theme-styles progression text, reduced blur, high-contrast node states, and explicit text labels for unlocked, ready, and locked skills.
SaveSlotsLanguageBackupAccessibility	bHighContrastHUD + UITextScale + bReducedMotion	Save backup overlay	Existing accessibility save fields	Theme-styles language backup rows, reduced blur, scalable slot summaries, and explicit Save/Load/Delete backup labels.
FastTravelEvacRouteAccessibility	bHighContrastHUD + UITextScale + bReducedMotion	Evac helipad fast-travel overlay	Existing accessibility save fields	Theme-styles extraction debrief text, route summaries, next-operation action, redeploy rows, and reduced blur.
ExpandedExtractionSetPieceAccessibility	SpawnExpandedExtractionSetPieceForCity labels + nonblocking primitives	Helipad extraction staging	Existing objective and helipad state	Uses text-first labels, nonblocking decorative geometry, and preserved helipad clearance so rooftop/convoy/boat/rail/bridge/helipad-command endings do not depend on color or collision-heavy staging.
TacticalGearPickupAccessibility	Tactical gear pickup labels + HUD field-kit summary	Armory, creative gear hub, and HUD	Existing selected language save slot and tactical gear save fields	Uses text-first pickup labels, HUD counts, L flashlight and Z scanner controls, and terminal Ctrl+B bypass button so expanded gear does not depend on color alone.
DistinctWeaponPresentationAccessibility	FirstPersonWeaponSilhouette + weapon HUD text	First-person weapon view, fire cue, reload cue, and no-ammo melee fallback	Existing active weapon, HUD weapon label, and reduced-motion save field	Uses distinct silhouettes, stance, recoil, reload, text-backed weapon labels, and reduced-motion fire/reload cue scaling so weapon identity does not depend on color or aggressive motion alone.
CombatJuiceWeaponFeelAccessibility	bReducedMotion + weapon HUD text + DamageFeedbackWidget	First-person fire, hit-confirm, reload, dry-fire, melee fallback, and incoming-damage cues	Existing active weapon, damage overlay, HUD labels, and reduced-motion save field	Scales fire kick, hit-confirm hold, reload settle, and damage direction kick while preserving HUD text, subtitles, damage overlay, and weapon labels as the accessible source of truth.
InteriorMissionSpaceAccessibility	SpawnInteriorMissionSpacesForCity labels + open-front layouts	Hospital, school, store, transit, and civic records interiors	Existing mission route and selected-language save state	Uses text-first labels, open-front layouts, readable door gaps, functional pickup labels, and mission boards so interior objectives do not depend on color or hidden interaction prompts alone.
WeatherLightingIdentityAccessibility	SpawnWeatherLightingIdentityLayer labels + nonblocking weather cues	Entry weather shelter, safehouse light pool, and rescue route sky cue	Existing city climate grade and mission route state	Uses text-first climate labels, nonblocking weather cues, ground reflections, and signal lights so weather identity remains readable without color-only interpretation.
RegionalCityKitAccessibility	SpawnRegionalCityKitIdentityLayer labels + nonblocking regional kit anchors	Regional kit entry gate, landmark vista kit, and objective district kit	Existing mission art kit, region, district, landmark, and city profile state	Uses text-first kit labels, nonblocking regional kit anchors, modular swatches, motif stand-ins, and signal lights so city-family identity remains readable without color-only interpretation.
ChallengeRoomConceptArtAccessibility	SpawnChallengeRoomConceptArtLayer labels + nonblocking concept rooms + curriculum-first review gallery	Variables lab, loop control room, array index hall, function relay room, debugger test bay, lesson concept artifact, visible/hidden validator stations, mentor proxies, and survivor proxies	Existing selected language, mission curriculum, tests, hint, debugger plan, progression state, and validator archetype list	Uses text-first concept labels, open-front nonblocking concept rooms, selected-language labels, visible/hidden/mistake labels, human-scale proxies, and signal lights so code concept spaces remain readable without color-only interpretation.
EliteWardenMiniBossAccessibility	SpawnEliteWardenMiniBossStagingLayer labels + nonblocking pressure gates	Intel lock gate, mini-boss sentinel lane, warden phase gate, active/dormant/defeated state labels, and charger/spitter/boomer role labels	Existing selected terminal solved state, boss defeat state, reduced-motion boss reveal, and enemy readability settings	Uses text-first enemy labels, nonblocking pressure gates, dispatch subtitles, stable role silhouettes, and boss reveal/phase telegraph handoff so warden pressure is readable without color-only interpretation.
InventoryMapJournalAccessibility	LanguageSaveContinuityText + RouteMapReadoutText + FieldInventoryReadoutText + LanguageProfileRecapText + LearningDebriefReadoutText + ChallengeReplayBriefText + FailSafeObjectiveBoardText + SurvivorIntelDossierText + SurvivorIntelArchiveText	Journal overlay language save, route map, field inventory, language profile recap, last learning debrief, challenge replay brief, fail-safe objective board, survivor intel, survivor intel archive, and city progress rows	Existing selected language, save slot, terminal, survivor, case-file, player resource, profile stats, learning debrief, challenge replay, fail-safe route board, survivor intel archive, high contrast, reduced motion, and text-scale fields	Uses text-first inventory, route, save, and intel summaries plus profile recap, learning debrief/replay/archive review with auto-wrap and high-contrast styling so the journal remains readable without color-only interpretation.
FailSafeObjectiveBoardAccessibility	FailSafeObjectiveBoardText + GetFailSafeObjectiveBoardSummary	Journal FAIL-SAFE OBJECTIVE BOARD readout	SelectedLanguage, SaveSlotName, language-specific save existence, SolvedTerminalIds, RescuedSurvivorNames, active campaign mission	Uses text-first return markers, T objective jump, Backspace/F8 safe recovery, J journal, P/Esc pause/save, protected terminal safety, active-route phase, and start-screen Resume status so a player who is lost can recover without color, audio, memory, or terminal history.
LanguageProfileRecapAccessibility	LanguageProfileRecapText + GetLanguageProfileRecapSummary	Journal LANGUAGE PROFILE RECAP readout	SelectedLanguage, SaveSlotName, Difficulty, language counters, learning counters, run scoreboard fields	Uses text-first stage recap, profile stats, review recommendation, and save-slot preview so a resumed selected-language run can decide what to review next without relying on color, audio, or terminal history.
PersistentLearningDebriefAccessibility	LearningDebriefReadoutText + GetLearningDebriefJournalSummary	Journal LAST LEARNING DEBRIEF readout	LastLearningDebriefChallengeId, LastLearningDebriefConcept, LastLearningDebriefLanguage, LastLearningDebriefScore, LastLearningDebriefSummary, bHasLearningDebriefState	Uses text-first concept proof, language transfer, score, save slot, and next-practice copy so a resumed selected-language run can review the latest terminal takeaway without relying on terminal output history.
ChallengeReplayJournalAccessibility	ChallengeReplayBriefText + GetChallengeReplayJournalSummary	Journal CHALLENGE REPLAY BRIEF readout	LastLearningDebriefChallengeId, LastLearningDebriefConcept, LastLearningDebriefLanguage, LastLearningDebriefScore, LastLearningDebriefSummary, bHasLearningDebriefState	Uses text-first visible goal, hidden-test replay note, clean/assisted replay status, and practice action so a resumed selected-language run can rehearse the last challenge without relying on memory, color, audio, or terminal output history.
TerminalPracticeRunAccessibility	PracticeRunButton + RunValidation	Terminal PRACTICE RUN readout and diagnostics	SelectedLanguage, SaveSlotName, live code text without save mutation	Uses text-first button copy, Ctrl+P shortcut, Practice Run Lock, PRACTICE-ONLY DEBRIEF, and no-save/no-route/no-reward safety copy so rehearsal remains understandable without relying on color, audio, or hidden state changes.
TerminalRewardChoiceAccessibility	RewardChoiceActionRow + ClaimTerminalRewardChoice	Terminal REWARD CHOICE KIOSK readout	RewardChoiceEligibleTerminalIds, ClaimedTerminalRewardChoiceIds, LastTerminalRewardChoiceSummary, selected-language save slot	Uses text-first reward button labels, claimed/pending/unavailable copy, selected-language slot summary, and one-choice persistence so reward selection is understandable without relying on color, audio, or remembering whether a terminal was live-solved.
SurvivorIntelArchiveAccessibility	SurvivorIntelArchiveText + GetSurvivorIntelArchiveSummary	Journal SURVIVOR INTEL ARCHIVE readout	LastSurvivorIntelTerminalId, LastSurvivorIntelSurvivorName, LastSurvivorIntelCityLabel, LastSurvivorIntelLanguage, LastSurvivorIntelStatus, LastSurvivorIntelSummary, LastSurvivorIntelScore, bHasSurvivorIntelArchiveState	Uses text-first contact, route, score, save slot, assisted/clean solve summary, and RESCUED status copy so a resumed selected-language run can review the latest survivor intel without relying on terminal history or color alone.
