priority	category	inclusion	purpose	asset_sources	target_destination	validation
P0	core_loop	protected coding safehouse and annexes	Keep learning separated from zombie death risk	Existing code plus safehouse/interior kits	Source/CodeRescueUnreal and Content/World/Imported	verify_protected_learning_zone_ai_slice_pass.py plus verify_may27_safe_learning_city_controls_pass.py plus packaged smoke plus manual terminal-pressure review
P0	core_loop	selected language terminal flow	Use one chosen language per run instead of mixing all languages	Existing curriculum plus future UI/audio polish	Source/CodeRescueUnreal and Content/CodeRescueData	verify_selected_language_terminal_flow_slice_pass.py plus verify_launch_language_start_screen_save_pass.py plus verify_terminal_language_track_ux_pass.py plus verify_terminal_post_solve_debrief_slice_pass.py plus verify_curriculum_validator_shapes.py plus verify_first_session_route_preview_slice_pass.py plus packaged smoke plus manual language save/resume review
P0	character	playable rescue operator	Primary over-the-shoulder player identity	MetaHuman/Manny/Quinn/custom skeletal assets	Content/Characters/Imported	verify_playable_operator_identity_slice_pass.py plus verify_camera_perspectives_and_character_roster.py plus verify_retarget_control_rig_slots_slice_pass.py plus packaged smoke plus manual operator identity resume review
P0	character	survivor archetype roster	Make rescued people readable and emotionally specific	MetaHuman, skeletal NPC packs, outfit props	Content/Characters/Imported	verify_survivor_archetype_roster_slice_pass.py plus verify_survivor_gesture_readability_slice_pass.py plus verify_character_world_assets.py plus packaged smoke plus manual survivor archetype roster review
P0	character	friendly safehouse NPCs	Support coding, trading, healing, radio intel, and repair loops	MetaHuman, Manny/Quinn, animation packs	Content/Characters/Imported	verify_friendly_safehouse_npc_service_slice_pass.py plus verify_friendly_npc_gesture_readability_slice_pass.py plus verify_character_world_assets.py plus packaged smoke plus manual FriendlySafehouseNPCService language save/resume review
P1	character	rescue squad companion gesture readability	Make squad orders, support fire, medic pulse, and damage reactions visible	Quinn/Manny/MetaHuman animation packs plus existing companion actor	Source/CodeRescueUnreal and Content/Characters/Imported	verify_companion_gesture_readability_slice_pass.py plus verify_squad_personality_tactical_readability_slice_pass.py plus packaged smoke plus manual CompanionGestureReadability review
P0	enemy	standard direct-pursuit zombies	Provide fair survival pressure away from coding spaces	Imported zombie packs and current zombie actors	Content/Characters/Imported and Source/CodeRescueUnreal	verify_standard_direct_pursuit_zombie_slice_pass.py plus verify_zombie_motion_readability_slice_pass.py plus verify_may27_safe_learning_city_controls_pass.py plus verify_runtime_step_smoke_contracts.py plus packaged smoke plus manual standard pursuit combat review
P0	enemy	zombie safe-zone exclusion	Prevent enemies from entering coding challenge areas	Nav volumes, spawn volumes, AI controller rules	Source/CodeRescueUnreal	verify_protected_learning_zone_ai_slice_pass.py plus verify_runtime_step_smoke_contracts.py plus packaged smoke plus manual terminal-pressure review
P1	enemy	zombie physical-animation hit reactions	Blend living skeletal zombie hit flinches through PhysicsAssets while preserving fallback readability	Imported zombie packs with PhysicsAssets plus current zombie actor	Source/CodeRescueUnreal and Content/Characters/Imported	verify_zombie_physical_animation_hit_reaction_slice_pass.py plus verify_zombie_death_physics_slice_pass.py plus verify_zombie_motion_readability_slice_pass.py plus packaged smoke plus manual ZombiePhysicalAnimationHitReaction review
P0	world	city street grid and storefront shell	Make levels read as actual city environments	Modular city kits, Parallax buildings, Fab props	Content/World/Imported	verify_city_street_grid_storefront_shell_slice_pass.py plus verify_character_world_assets.py plus verify_may27_safe_learning_city_controls_pass.py plus packaged render smoke plus manual city street/storefront review
P0	world	human-scale doors windows stairs and cover	Fix building and prop proportionality versus characters	Modular interiors, props, collision assets	Content/World/Imported	verify_human_scale_route_access_slice_pass.py plus verify_june19_playability_readability_fix_pass.py plus verify_world_promotion_validation_contract_pass.py plus packaged render smoke plus manual route access review
P0	gameplay	health gauge and non-instant zombie damage	Make combat survivable and legible	Existing HUD and character code	Source/CodeRescueUnreal	verify_health_damage_survivability_slice_pass.py plus verify_june01_rescue_survivability_pass.py plus verify_hud_vitals_theme_accessibility_slice_pass.py plus verify_damage_feedback_accessibility_slice_pass.py plus packaged smoke plus manual combat survivability review
P0	gameplay	weapon quick slots and visible armory	Let users choose weapons and tactical gear immediately	Weapon prop packs, UI icons, audio packs	Content/Weapons/Imported	verify_weapon_quick_slot_armory_slice_pass.py plus verify_may27_tactical_arsenal_mcp_runtime.py plus verify_save_compatibility_pass.py plus packaged smoke plus manual weapon save/resume review
P0	gameplay	death replay save-and-quit flow	Provide graceful failure and persistence choices	Existing UI plus future styling assets	Source/CodeRescueUnreal	verify_death_replay_save_quit_flow_slice_pass.py plus verify_end_state_language_run_continuity_slice_pass.py plus verify_health_damage_survivability_slice_pass.py plus verify_save_compatibility_pass.py plus packaged smoke plus manual death-flow review
P1	character	MetaHuman face and groom pass	Upgrade major NPC and player presentation	MetaHuman downloads, groom review assets, Mac hair-card/mesh fallback assets	Content/Characters/Imported	verify_mac_hair_card_compatibility_slice_pass.py plus verify_may27_unreal_systems_character_world_pass.py
P1	character	IK retargeting and Control Rig slots	Unify animation across downloaded skeletons and keep full-body foot contact/pelvis grounding explicit	IK Rig, IK Retargeter, Control Rig, Maya edits, foot IK review tags	Content/Characters/Imported	verify_retarget_control_rig_slots_slice_pass.py plus verify_animation_budget_runtime_slice_pass.py plus verify_ik_foot_grounding_review_slice_pass.py plus verify_camera_perspectives_and_character_roster.py plus packaged smoke plus manual animation review
P1	enemy	zombie family variants	Support city-specific enemy silhouettes and behavior	Urban Zombie, dog zombie, nurse, bloated, armored variants	Content/Characters/Imported	verify_character_world_assets.py plus verify_character_promotion_validation_unreal.py plus verify_zombie_family_variants_slice_pass.py plus verify_zombie_motion_readability_slice_pass.py plus verify_character_promotion_validation_contract_pass.py plus packaged smoke plus manual combat readability review
P1	enemy	elite warden and mini-bosses	Add staged pressure after intel milestones	Boss meshes, Control Rig, VFX, audio	Content/Characters/Imported and Source/CodeRescueUnreal	verify_elite_warden_miniboss_slice_pass.py plus verify_boss_reveal_presentation_slice_pass.py plus verify_boss_phase_telegraph_slice_pass.py plus packaged smoke plus manual playtest
P1	world	interior mission spaces	Make safehouses, hospitals, schools, stores, and transit hubs enterable	Interior kits, props, lighting packs	Content/World/Imported	verify_interior_mission_spaces_slice_pass.py plus packaged render smoke plus visual review
P1	world	major city regional kits	Differentiate New York, LA, Chicago, Houston, Phoenix, DC, Miami, Seattle, and others	Modular city packs, props, weather/VFX	Content/World/Imported	verify_regional_city_kit_identity_slice_pass.py plus verify_production_track_completion.py plus packaged render smoke plus visual review
P1	world	weather and lighting identity	Create survival-horror atmosphere by district	Niagara, sky, lighting, material packs	Content/VFX/Imported and Content/World/Imported	verify_weather_lighting_identity_slice_pass.py plus packaged render smoke plus visual review
P0	world	World Partition + Data Layer migration	Expose state, time, weather, safehouse, combat, objective, and streaming boundaries in the current playable C++ city before authored World Partition assets replace it	Existing C++ city spawn layers plus future World Partition maps, OFPA actors, Data Layers, Level Instances, and PCG cells	Source/CodeRescueUnreal and Content/CodeRescueData	verify_runtime_data_layer_migration_slice_pass.py plus verify_world_promotion_validation_contract_pass.py plus packaged render smoke plus manual RuntimeDataLayerMigration review
P1	learning	challenge room concept art	Tie code concepts to physical spaces	Interior props, terminal UI, signage, VFX	Content/World/Imported and Source/CodeRescueUnreal	verify_challenge_room_concept_art_slice_pass.py plus verify_curriculum_validator_shapes.py plus packaged render smoke plus visual review
P1	learning	terminal post-solve after-action debrief	Teach why a solution worked, how it transfers to the selected language, what save profile was updated, and which survivor route opened	Existing terminal UI and curriculum feedback manifests	Source/CodeRescueUnreal and Content/CodeRescueData	verify_terminal_post_solve_debrief_slice_pass.py plus verify_persistent_learning_debrief_slice_pass.py plus verify_challenge_replay_journal_slice_pass.py plus verify_language_profile_recap_slice_pass.py plus verify_inventory_map_journal_polish_slice_pass.py plus packaged smoke plus manual persistent learning debrief resume review plus manual challenge replay resume review plus manual language profile recap resume review plus verify_terminal_practice_run_slice_pass.py plus manual terminal practice-only review plus verify_terminal_reward_choice_kiosk_slice_pass.py plus manual reward resume review
P1	learning	survivor intel dossier UI	Make challenge rewards feel meaningful by surfacing contact, location, lesson payoff, validation record, language run, next rescue step, and resume-safe survivor intel archive	UI assets, map icons, audio stingers	Content/UI/Imported and Source/CodeRescueUnreal	verify_survivor_intel_dossier_slice_pass.py plus verify_survivor_intel_archive_slice_pass.py plus verify_inventory_map_journal_polish_slice_pass.py plus packaged smoke plus manual survivor intel archive resume review
P1	weapons	distinct weapon models and animations	Make every weapon visually and mechanically unique	Weapon packs, animation packs, sounds	Content/Weapons/Imported	verify_distinct_weapon_presentation_slice_pass.py plus verify_may27_tactical_arsenal_mcp_runtime.py plus verify_player_first_person_animation_slice_pass.py plus packaged smoke plus manual visual review
P1	weapons	combat juice and weapon feel	Make fire, hit-confirm, reload, dry-fire, melee fallback, and incoming-damage cues readable without requiring final weapon art	Existing character code, current weapon profiles, VFX/audio hooks, and future authored montages	Source/CodeRescueUnreal	verify_combat_juice_weapon_feel_slice_pass.py plus verify_distinct_weapon_presentation_slice_pass.py plus verify_player_first_person_animation_slice_pass.py plus verify_damage_feedback_accessibility_slice_pass.py plus packaged smoke plus manual CombatJuiceWeaponFeel review
P1	weapons	tactical gear pickups	Add scanner, flashlight, armor, ammo pouch, medkit, and bypass kit	Prop packs, icons, audio	Content/Weapons/Imported	verify_tactical_gear_pickups_slice_pass.py plus packaged smoke plus terminal bypass UI check
P1	ai	encounter director	Balance combat pressure by player state and objective	Behavior Tree, StateTree, EQS, current AI code	Source/CodeRescueUnreal	verify_adaptive_encounter_director_pressure_slice_pass.py plus verify_encounter_director_ai_slice_pass.py plus verify_runtime_step_smoke_contracts.py plus packaged smoke plus manual encounter pacing review
P2	gameplay	stealth and avoidance	Let players evade or redirect zombie pressure through line-of-sight breaks, quiet movement, and noise-aware actions instead of always fighting	Existing AI controller, player movement/combat input, HUD, collision sight trace, and future stealth props/audio	Source/CodeRescueUnreal and Content/CodeRescueData	verify_stealth_avoidance_slice_pass.py plus verify_standard_direct_pursuit_zombie_slice_pass.py plus verify_protected_learning_zone_ai_slice_pass.py plus verify_threat_compass_hud_slice_pass.py plus packaged smoke plus manual StealthAvoidance review
P0	physics	collision channel gameplay contract	Split weapon fire, AI sight, interaction targeting, player/zombie/cover/pickup objects, and future asset promotion away from generic visibility/profile drift	Existing collision config and gameplay actors	Source/CodeRescueUnreal and Config/DefaultEngine.ini	verify_collision_channel_gameplay_contract_slice_pass.py plus verify_creative_physics_world_slice_pass.py plus verify_physics_promotion_validation_contract_pass.py plus packaged smoke plus manual collision channel gameplay review
P1	physics	determinism and fixed timestep physics contract	Keep throwables, ragdolls, cover debris, fallback vehicle bodies, and physics-yard props stable across Mac frame-rate swings	Existing physics config and runtime physics actors	Source/CodeRescueUnreal and Config/DefaultEngine.ini	verify_fixed_timestep_physics_contract_slice_pass.py plus verify_creative_physics_world_slice_pass.py plus verify_physics_promotion_validation_contract_pass.py plus packaged smoke plus manual fixed timestep physics review
P1	physics	interactive barricades and cover	Add tactical movement and emergency blocking	Chaos assets, async physics library, props	Content/World/Imported and Source/CodeRescueUnreal	verify_destructible_cover_physics_slice_pass.py plus verify_physics_lane_combat_encounter_slice_pass.py plus verify_surface_impact_physics_slice_pass.py plus verify_runtime_step_smoke_contracts.py plus verify_physics_promotion_validation_unreal.py plus packaged smoke plus manual cover/physics review
P1	audio	city radio and survivor barks	Improve narrative readability and rescue reward feedback	Audio packs, voice recordings, subtitles	Content/Audio/Imported and Content/CodeRescueData	verify_city_radio_bark_cadence_slice_pass.py plus verify_survivor_rescue_dialogue_handoff_slice_pass.py plus audio manifest plus packaged smoke plus manual audio/subtitle review
P1	audio	reactive threat music and captions	Make music pressure respond to nearby zombie distance while keeping audio-state changes text-backed	Existing music component, zombie threat state, subtitles, and future authored stems	Source/CodeRescueUnreal and Content/CodeRescueData	verify_reactive_threat_audio_music_slice_pass.py plus verify_threat_audio_captions_slice_pass.py plus verify_settings_audio_accessibility_slice_pass.py plus packaged smoke plus manual ReactiveThreatAudioMusic review
P1	audio	city ambient zone director	Provide ZoneAmbientCues hooks for entry, safehouse, street, survivor, route, and extraction spaces using existing mission geometry and save state	Existing city mission data, objective anchors, subtitles, audio summaries, and future authored ambience stems	Source/CodeRescueUnreal and Content/CodeRescueData	verify_city_ambient_zone_audio_slice_pass.py plus verify_reactive_threat_audio_music_slice_pass.py plus verify_settings_audio_accessibility_slice_pass.py plus packaged smoke plus manual CityAmbientZoneAudio review
P1	accessibility	visualized sound cues	Make threat music and city ambience readable without requiring hearing	Runtime threat music state, city ambient zone state, subtitles, and HUD text	Source/CodeRescueUnreal and Content/CodeRescueData	verify_visualized_sound_cues_accessibility_slice_pass.py plus verify_settings_audio_accessibility_slice_pass.py plus verify_city_ambient_zone_audio_slice_pass.py plus verify_reactive_threat_audio_music_slice_pass.py plus packaged smoke plus manual VisualizedSoundCues review
P1	accessibility	mono audio accessibility	Center project-owned positional cues and force visual sound indicators for mono listening	Runtime SFX call sites, zombie growl audio, city ambient actors, settings save state, and visual sound cues	Source/CodeRescueUnreal and Content/CodeRescueData	verify_mono_audio_accessibility_slice_pass.py plus verify_visualized_sound_cues_accessibility_slice_pass.py plus verify_settings_audio_accessibility_slice_pass.py plus packaged smoke plus manual MonoAudioAccessibility review
P1	ui	inventory map and journal polish	Make weapons, intel, objectives, and city progress readable	UI icon packs, fonts, widgets	Content/UI/Imported and Source/CodeRescueUnreal	verify_inventory_map_journal_polish_slice_pass.py plus verify_minimap_route_readability_slice_pass.py plus verify_objective_journal_accessibility_slice_pass.py plus packaged smoke plus manual UI pass plus verify_fail_safe_objective_board_slice_pass.py
P1	ui	objective route toast clarity	Make terminal solve, survivor rescue, extraction readiness, and checkpoint save state readable as immediate HUD acknowledgements	Existing HUD objective state, selected-language saves, minimap, journal, and visualized sound cue line	Source/CodeRescueUnreal and Content/CodeRescueData	verify_objective_route_toast_clarity_slice_pass.py plus verify_objective_focus_beacon_slice_pass.py plus verify_minimap_route_readability_slice_pass.py plus verify_terminal_post_solve_debrief_slice_pass.py plus verify_survivor_rescue_dialogue_handoff_slice_pass.py plus verify_field_checklist_hud_slice_pass.py plus packaged smoke plus manual ObjectiveRouteToasts review
P1	pipeline	Houdini modular city output	Generate scalable city kits and rubble variation	Houdini assets, PCG outputs, USD/FBX	Content/World/Imported	DataValidation plus verify_editor_data_validation_contract_pass.py plus verify_world_promotion_validation_unreal.py plus visual review plus verify_houdini_modular_city_output_slice_pass.py plus packaged smoke
P1	pipeline	Maya character cleanup	Prepare imported characters, sockets, and animations	Maya exports, FBX, animation edits	Content/Characters/Imported	DataValidation plus verify_editor_data_validation_contract_pass.py plus verify_character_promotion_validation_unreal.py plus retarget tests plus verify_maya_character_cleanup_slice_pass.py plus packaged smoke plus manual animation/socket review
P2	world	expanded extraction set pieces	Add rooftop, convoy, boat, rail, bridge, and helipad endings	Vehicle packs, props, Sequencer	Content/World/Imported	verify_expanded_extraction_set_pieces_slice_pass.py plus render smoke plus visual capture
P2	narrative	collectible case files	Deepen world story and coding context	Document props, UI, subtitles	Content/World/Imported and Content/CodeRescueData	verify_case_file_collectibles_slice_pass.py plus manual QA checklist plus packaged smoke
P2	narrative	environmental storytelling	Make broken automation, safehouse engineers, survivor stakes, code cause/effect, and city chapters readable in the world without extra exposition	Existing mission data, case files, radio briefings, and future prop/graffiti/Level Instance art	Content/World/Imported and Content/CodeRescueData	verify_environmental_storytelling_slice_pass.py plus verify_case_file_collectibles_slice_pass.py plus packaged render smoke plus manual EnvironmentalStorytelling review
P2	narrative	world bible and lore	Keep 465 city chapters coherent with a canonical premise, pillars, factions/forces, technology rules, and per-city lore data	Existing mission data, narrative manifests, radio briefings, and future written bible/art/audio pass	Content/World/Imported and Content/CodeRescueData	verify_world_bible_lore_slice_pass.py plus verify_environmental_storytelling_slice_pass.py plus packaged render smoke plus manual WorldBibleLore review
P2	cinematic	Sequencer intros and boss reveals	Improve public-demo presentation	Sequencer, cameras, Control Rig, audio	Content/Cinematics/Imported	verify_sequencer_intro_boss_reveal_slice_pass.py plus verify_boss_reveal_presentation_slice_pass.py plus packaged render smoke plus manual cinematic review
P2	vfx	radio scan and rescue beacon effects	Make intel and rescue routes more visible	Niagara effects, materials	Content/VFX/Imported	verify_radio_scan_rescue_beacon_slice_pass.py plus render smoke plus visual capture
P2	accessibility	expanded accessibility options	Support more players and learning comfort	UI and settings code	Source/CodeRescueUnreal	verify_expanded_accessibility_options_slice_pass.py plus verify_ui_text_scale_settings_slice_pass.py plus verify_settings_audio_accessibility_slice_pass.py plus verify_subtitle_accessibility_live_refresh_slice_pass.py plus verify_damage_feedback_accessibility_slice_pass.py plus verify_objective_journal_accessibility_slice_pass.py plus manual accessibility QA
