rank	slug	city	review_route	required_checks
1	new_york_ny	New York	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
2	los_angeles_ca	Los Angeles	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
3	chicago_il	Chicago	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
4	houston_tx	Houston	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
5	phoenix_az	Phoenix	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
6	philadelphia_pa	Philadelphia	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
7	san_antonio_tx	San Antonio	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
8	san_diego_ca	San Diego	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
9	dallas_tx	Dallas	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
10	jacksonville_fl	Jacksonville	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
11	fort_worth_tx	Fort Worth	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
12	san_jose_ca	San Jose	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
13	austin_tx	Austin	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
14	charlotte_nc	Charlotte	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
15	columbus_oh	Columbus	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
16	indianapolis_in	Indianapolis	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
17	san_francisco_ca	San Francisco	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
18	seattle_wa	Seattle	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
19	denver_co	Denver	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
20	oklahoma_city_ok	Oklahoma City	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
21	nashville_davidson_tn	Nashville-Davidson	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
22	washington_dc	Washington	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
23	el_paso_tx	El Paso	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
24	las_vegas_nv	Las Vegas	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
25	boston_ma	Boston	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
26	detroit_mi	Detroit	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
27	louisville_jefferson_county_ky	Louisville/Jefferson County	spawn_pad > language_stations > mission_terminal > landmark > animation_stage > production_plaza > survivor_camp	no blocking entry rails; terminal readable; city identity visible; radio subtitle appears; character clips animate; production plaza readable; survivor route clear
