rank	slug	city	voice	radio_key	subtitle_fallback	system_voice_fallback	cooked_cue_strategy	ambient_zone	coverage_status
1	new_york_ny	New York	Victoria	campaign.001.new_york_ny.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback;city_radio_bark_cadence;runtime.radio_route_cadence;pending_subtitle_queue;route_phase_language_terminal_survivor_landmark_next_step;reactive_threat_audio_music;runtime.reactive_threat_music;reactive_audio_state_caption;nearby_zombie_pressure;city_ambient_zone_audio;runtime.city_ambient_zone;ambient_zone_state_caption;ZoneAmbientCues;visualized_sound_cues;mono_audio_accessibility
2	los_angeles_ca	Los Angeles	Samantha	campaign.002.los_angeles_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
3	chicago_il	Chicago	Alex	campaign.003.chicago_il.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
4	houston_tx	Houston	Daniel	campaign.004.houston_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
5	phoenix_az	Phoenix	Samantha	campaign.005.phoenix_az.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
6	philadelphia_pa	Philadelphia	Victoria	campaign.006.philadelphia_pa.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
7	san_antonio_tx	San Antonio	Daniel	campaign.007.san_antonio_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
8	san_diego_ca	San Diego	Samantha	campaign.008.san_diego_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
9	dallas_tx	Dallas	Daniel	campaign.009.dallas_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
10	jacksonville_fl	Jacksonville	Daniel	campaign.010.jacksonville_fl.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
11	fort_worth_tx	Fort Worth	Daniel	campaign.011.fort_worth_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
12	san_jose_ca	San Jose	Samantha	campaign.012.san_jose_ca.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	2	complete_text_subtitle_with_platform_voice_fallback
13	austin_tx	Austin	Daniel	campaign.013.austin_tx.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	0	complete_text_subtitle_with_platform_voice_fallback
14	charlotte_nc	Charlotte	Daniel	campaign.014.charlotte_nc.radio_briefing	always_on	macOS_say_when_enabled	optional_soft_ref_or_text_voice_fallback	1	complete_text_subtitle_with_platform_voice_fallback
