rank	slug	city	state	voice	art_kit	briefing
1	new_york_ny	New York	NY	Victoria	Coastal Port	Radio briefing: New York, NY is stop 001 on the national route. Secure the New York Signal Spire in the Coastal Port, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 1: three visible cells feed one returned total.
2	los_angeles_ca	Los Angeles	CA	Samantha	Coastal Port	Radio briefing: Los Angeles, CA is stop 002 on the national route. Secure the Los Angeles Rescue Arch in the Coastal Port, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 2: compare four safety states before opening the survivor route.
3	chicago_il	Chicago	IL	Alex	Great Lakes Industrial	Radio briefing: Chicago, IL is stop 003 on the national route. Secure the Chicago Data Beacon in the Great Lakes Industrial, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 3: three visible cells feed one returned total.
4	houston_tx	Houston	TX	Daniel	Desert Solar Grid	Radio briefing: Houston, TX is stop 004 on the national route. Secure the Houston Command Obelisk in the Desert Solar Grid, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 4: visual packets run backward from tower to terminal.
5	phoenix_az	Phoenix	AZ	Samantha	Desert Solar Grid	Radio briefing: Phoenix, AZ is stop 005 on the national route. Secure the Phoenix Relay Bridge in the Desert Solar Grid, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 1: three visible cells feed one returned total.
6	philadelphia_pa	Philadelphia	PA	Victoria	Latin Metro	Radio briefing: Philadelphia, PA is stop 006 on the national route. Secure the Philadelphia Power Crown in the Latin Metro, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 2: compare four safety states before opening the survivor route.
7	san_antonio_tx	San Antonio	TX	Daniel	Desert Solar Grid	Radio briefing: San Antonio, TX is stop 007 on the national route. Secure the San Antonio Signal Spire in the Desert Solar Grid, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 3: three visible cells feed one returned total.
8	san_diego_ca	San Diego	CA	Samantha	Coastal Port	Radio briefing: San Diego, CA is stop 008 on the national route. Secure the San Diego Rescue Arch in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 4: visual packets run backward from tower to terminal.
9	dallas_tx	Dallas	TX	Daniel	Desert Solar Grid	Radio briefing: Dallas, TX is stop 009 on the national route. Secure the Dallas Data Beacon in the Desert Solar Grid, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 1: three visible cells feed one returned total.
10	jacksonville_fl	Jacksonville	FL	Daniel	Coastal Port	Radio briefing: Jacksonville, FL is stop 010 on the national route. Secure the Jacksonville Command Obelisk in the Coastal Port, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 2: compare four safety states before opening the survivor route.
11	fort_worth_tx	Fort Worth	TX	Daniel	Desert Solar Grid	Radio briefing: Fort Worth, TX is stop 011 on the national route. Secure the Fort Worth Relay Bridge in the Desert Solar Grid, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 3: three visible cells feed one returned total.
12	san_jose_ca	San Jose	CA	Samantha	Coastal Port	Radio briefing: San Jose, CA is stop 012 on the national route. Secure the San Jose Power Crown in the Coastal Port, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 4: visual packets run backward from tower to terminal.
13	austin_tx	Austin	TX	Daniel	Desert Solar Grid	Radio briefing: Austin, TX is stop 013 on the national route. Secure the Austin Signal Spire in the Desert Solar Grid, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 1: three visible cells feed one returned total.
14	charlotte_nc	Charlotte	NC	Daniel	Coastal Port	Radio briefing: Charlotte, NC is stop 014 on the national route. Secure the Charlotte Rescue Arch in the Coastal Port, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 2: compare four safety states before opening the survivor route.
15	columbus_oh	Columbus	OH	Alex	Great Lakes Industrial	Radio briefing: Columbus, OH is stop 015 on the national route. Secure the Columbus Data Beacon in the Great Lakes Industrial, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 3: three visible cells feed one returned total.
16	indianapolis_in	Indianapolis	IN	Alex	Monsoon Megacity	Radio briefing: Indianapolis, IN is stop 016 on the national route. Secure the Indianapolis Command Obelisk in the Monsoon Megacity, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 4: visual packets run backward from tower to terminal.
17	san_francisco_ca	San Francisco	CA	Samantha	Coastal Port	Radio briefing: San Francisco, CA is stop 017 on the national route. Secure the San Francisco Relay Bridge in the Coastal Port, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 1: three visible cells feed one returned total.
18	seattle_wa	Seattle	WA	Samantha	Coastal Port	Radio briefing: Seattle, WA is stop 018 on the national route. Secure the Seattle Power Crown in the Coastal Port, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 2: compare four safety states before opening the survivor route.
19	denver_co	Denver	CO	Samantha	Latin Metro	Radio briefing: Denver, CO is stop 019 on the national route. Secure the Denver Signal Spire in the Latin Metro, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 3: three visible cells feed one returned total.
20	oklahoma_city_ok	Oklahoma City	OK	Daniel	Metro Core	Radio briefing: Oklahoma City, OK is stop 020 on the national route. Secure the Oklahoma City Rescue Arch in the Metro Core, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 4: visual packets run backward from tower to terminal.
21	nashville_davidson_tn	Nashville-Davidson	TN	Daniel	African Urban Relay	Radio briefing: Nashville-Davidson, TN is stop 021 on the national route. Secure the Nashville-Davidson Data Beacon in the African Urban Relay, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 1: three visible cells feed one returned total.
22	washington_dc	Washington	DC	Daniel	Capital Command	Radio briefing: Washington, DC is stop 022 on the national route. Secure the Washington Command Obelisk in the Capital Command, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 2: compare four safety states before opening the survivor route.
23	el_paso_tx	El Paso	TX	Daniel	Desert Solar Grid	Radio briefing: El Paso, TX is stop 023 on the national route. Secure the El Paso Relay Bridge in the Desert Solar Grid, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 3: three visible cells feed one returned total.
24	las_vegas_nv	Las Vegas	NV	Samantha	Desert Solar Grid	Radio briefing: Las Vegas, NV is stop 024 on the national route. Secure the Las Vegas Power Crown in the Desert Solar Grid, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 4: visual packets run backward from tower to terminal.
25	boston_ma	Boston	MA	Victoria	African Urban Relay	Radio briefing: Boston, MA is stop 025 on the national route. Secure the Boston Signal Spire in the African Urban Relay, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 1: three visible cells feed one returned total.
26	detroit_mi	Detroit	MI	Alex	Great Lakes Industrial	Radio briefing: Detroit, MI is stop 026 on the national route. Secure the Detroit Rescue Arch in the Great Lakes Industrial, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 2: compare four safety states before opening the survivor route.
27	louisville_jefferson_county_ky	Louisville/Jefferson County	KY	Daniel	River Lockworks	Radio briefing: Louisville/Jefferson County, KY is stop 027 on the national route. Secure the Louisville/Jefferson County Data Beacon in the River Lockworks, finish the string traversal and reversal lesson, then extract the survivor team. New city feature: Radio rewind mast 3: visual packets run backward from tower to terminal.
28	portland_or	Portland	OR	Samantha	Coastal Port	Radio briefing: Portland, OR is stop 028 on the national route. Secure the Portland Command Obelisk in the Coastal Port, finish the mirror checks and edge cases lesson, then extract the survivor team. New city feature: Mirror-code walk 4: paired light posts teach left/right character comparisons.
29	memphis_tn	Memphis	TN	Daniel	African Urban Relay	Radio briefing: Memphis, TN is stop 029 on the national route. Secure the Memphis Relay Bridge in the African Urban Relay, finish the loops, divisibility, and ordered branches lesson, then extract the survivor team. New city feature: Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.
30	baltimore_md	Baltimore	MD	Daniel	Coastal Port	Radio briefing: Baltimore, MD is stop 030 on the national route. Secure the Baltimore Power Crown in the Coastal Port, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 2: three visible cells feed one returned total.
31	milwaukee_wi	Milwaukee	WI	Alex	Great Lakes Industrial	Radio briefing: Milwaukee, WI is stop 031 on the national route. Secure the Milwaukee Signal Spire in the Great Lakes Industrial, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 3: compare four safety states before opening the survivor route.
