priority	system	implementation_slug	gameplay_surface	asset_usage	validation
P0	core_loop	protected_coding_preserved	Protected coding safehouse and selected-language terminal remain the first learning surface	Existing terminal/safehouse code	verify_may27_safe_learning_city_controls_pass.py
P0	asset_intake	download_intake_gate	Visible in-world intake review bay for active Fab/MetaHuman/Maya/Houdini downloads	Fab cache and MetaHuman packages are tracked but not blindly imported	scan_may28_active_asset_downloads.py
P0	character	playable_cast_promotion_stage	Playable operator, engineer, analyst, medic, and survivor-unlock cast slots visible in each city	Uses Manny/Quinn placeholders now; MetaHuman replacements gated by validation	verify_may28_creative_recommendations_pass.py
P0	character	metahuman_replacement_slots	MetaHumanReplacementSlot, ControlRigFacialSlot, IKRetargeterReady tags added to cast promotion stage	Incoming MetaHuman body/groom mhpkg packages mapped to slots	verify_may28_creative_recommendations_pass.py
P0	learning	curriculum_concept_rooms	Types, conditionals, loops, arrays, strings, functions, search, and sort have protected visual nodes	Existing selected-language terminal flow plus concept-room art	verify_curriculum_validator_shapes.py
P0	learning	survivor_intel_reward_chain	Curriculum room tags connect code concepts to survivor intel rather than combat pressure	Existing terminal success/intel flow	verify_may27_safe_learning_city_controls_pass.py
P0	gear	functional_tactical_pickups	Flare, smoke, stim, scrap, and armor pickups now collect into real player systems	APickupActor enum and ACodeRescueCharacter resource methods	verify_may28_creative_recommendations_pass.py
P0	gear	armor_damage_absorption	Armor plates reduce enemy damage and are consumed per protected hit	ACodeRescueCharacter ArmorPlates and ArmorDamageReduction	verify_may28_creative_recommendations_pass.py
P0	ui	armor_hud_readout	HUD shows armor in status, second line, and tactical readouts	CodeRescueHUDWidget	verify_may28_creative_recommendations_pass.py
P0	world	major_city_district_kits	Hospital, transit, civic, commercial, industrial, and residential district kit targets visible in every city	Current primitive/procedural stand-ins ready for imported kit replacement	verify_character_world_assets.py
P0	world	human_scale_building_targets	District kit modules tagged HumanScaleBuildingProportion	Existing architectural scale helpers plus new tagged modules	verify_may28_creative_recommendations_pass.py
P0	ai	ai_encounter_director_runtime_hook	Stress rig AI nodes tagged for Behavior Tree, StateTree, EQS, and encounter director promotion	Existing C++ AI plus future plugin candidates	verify_runtime_step_smoke_contracts.py
P0	physics	async_physics_promotion_gate	Movable physics props tagged for async/Chaos promotion and projectile stress	Unreal Chaos physics with static mesh physics simulation	verify_runtime_step_smoke_contracts.py
P0	qa	comprehensive_stress_test_rig	Every city includes a visible stress rig for camera, health, armor, pickups, physics, AI nodes, coding, survivor route, and package smoke	Procedural gameplay markers and actual physics props	verify_may28_creative_recommendations_pass.py
P1	enemy	zombie_family_promotion_targets	Active download scanner identifies zombie packs for combat-district-only promotion	Fab cache and project zombie roots	active_download_asset_intake_2026_05_28.tsv
P1	world	interior_mission_space_targets	District kit tags identify future safehouse/hospital/transit/store interior replacement cells	Current procedural interior markers	verify_character_world_assets.py
P1	pipeline	maya_houdini_intake_targets	Intake bay and scanner rows track Maya/Houdini/DCC packages before import	Fab cache, mhpkg, future FBX/USD/Alembic	scan_may28_active_asset_downloads.py
P1	pipeline	quest_kit_promotion_target	Quest Kit Pro is classified for Mac plugin/source review before any runtime dependency	Fab cache scanner	active_download_asset_intake_2026_05_28.tsv
P1	pipeline	async_physics_plugin_target	Async Physics library is classified for Mac plugin/source review before enabling	Fab cache scanner	active_download_asset_intake_2026_05_28.tsv
P1	pipeline	convai_ai_plugin_target	Convai AI package is classified for Mac plugin/source review before enabling	Fab cache scanner	active_download_asset_intake_2026_05_28.tsv
P1	audio_vfx	future_radio_vfx_targets	Implementation layer preserves VFX/audio slots for later radio, beacon, survivor, and weather polish	Existing audio/VFX roots plus scanner	visual_review_checklist.tsv
P1	packaging	package_stress_marker	Runtime log marker CodeRescueCreativeImplementation proves the new layer spawned in packaged smoke	GameMode UE_LOG packaged logs	Smoke_Test_Packaged_App.command null/render
