ux_area	current_hook	improvement_contract	qa_check
DependencyBanner	GetLanguageDependencyMessage	Unavailable external validators explain public safety gate and fallback	Terminal banner is clear when external validation is disabled.
FailedChecks	FCodeValidationResult.FailedChecks	Show first failed check as next repair target	Broken solution surfaces actionable feedback.
TestCounts	TotalTestCases/PassedTestCases	Show partial progress instead of binary failure	Multi-test challenge reports pass count.
HintEconomy	ResearchPoints and no-hint counters	Hints remain allowed while rewarding no-hint mastery	HUD updates research/no-hint/perfect counters.
PostSolveExplanation	BuildPostSolveAfterActionDebrief + Terminal success summary	Success explains concept proof, language transfer, survivor intel, save continuity, and next practice	Player knows why the solution worked, which language run was saved, and where to go next.
PracticeOnlyTerminal	UCodeTerminalWidget::RunValidation + PracticeRunButton	PRACTICE RUN validates the current selected-language code without save advance, route unlock, rewards, attempts, streaks, or survivor intel upload	Player can rehearse visible and hidden-test feedback before choosing VALIDATE CODE to commit progress.
RewardChoiceKiosk	UCodeTerminalWidget reward choice buttons + UCodeRescueGameInstance::ClaimTerminalRewardChoice	Live terminal success unlocks one save-backed choice between Research Boost, Field Kit, and Crafting Cache	Player can choose a meaningful post-solve reward once, resume later, and avoid duplicate rewards or bypass/practice reward exploits.
PersistentLearningDebrief	RecordLearningDebrief + Objective journal LAST LEARNING DEBRIEF	Latest success or bypass debrief is saved into the selected-language profile and surfaced in the journal	Player can close the terminal, relaunch from the start screen resume slot, and still review the last concept proof, language transfer, score, and next practice.
ChallengeReplayJournal	GetChallengeReplayJournalSummary + Objective journal CHALLENGE REPLAY BRIEF	Latest saved terminal debrief also becomes a replay brief with visible goal, hidden-test replay note, clean/assisted status, practice action, and start-screen Resume continuity	Player can reopen the journal after closing the terminal or relaunching a language run and rehearse the prior challenge before the next live terminal.
LanguageProfileRecap	GetLanguageProfileRecapSummary + Objective journal LANGUAGE PROFILE RECAP	Selected-language profile stats, stage recap, review recommendation, and save-slot preview are readable from the journal using existing save counters	Player can check what to review next, which stage is active, and whether the current language Resume slot is present without reopening terminal output.
RepairDebrief	BuildRepairDebrief + failed checks	Failed attempts name the active repair target, language tactic, next validation move, and safehouse pause state	Player can make one specific change without losing combat safety context.
SurvivorIntelDossier	Objective journal survivor intel dossier	Terminal success unlocks active survivor contact, location, lesson payoff, validation record, language run, and next step	Player can review the rescue payoff after code validation.
SurvivorIntelArchive	RecordSurvivorIntelDossier + Objective journal SURVIVOR INTEL ARCHIVE	Latest terminal success or assisted bypass writes the active survivor contact, route, selected language, validation score, and next step into the selected-language save; rescue updates the same archive to RESCUED	Player can close the game, relaunch through the start-screen resume slot for that language, and still review the latest uploaded survivor intel and rescue status.
SurvivorRescueHandoff	BuildSurvivorRescueLine + BuildExtractionDispatchLine	Successful rescue subtitles connect the selected language solve, city landmark, world payoff, helipad route, save continuity, and dossier state	Player hears why the rescue worked and where the saved language run goes next.
CaseFileCollectibles	ACaseFilePickupActor + journal case-file summary	Optional collectible case files tie terminal concept, survivor note, and route brief to the selected-language save	Player can collect optional context and review persistence in the journal.
RadioScanRescueBeacon	AObjectiveFocusBeaconActor radio scan + rescue beacon	Beacon phase labels and procedural effects connect selected-language terminal route, survivor ping, and extraction beacon to saved objective state	Player can read the active coding/rescue phase in the world before, during, and after the terminal solve.
ObjectiveRouteToast	UCodeRescueHUDWidget route toast	Terminal success, survivor rescue, extraction readiness, and checkpoint save generate immediate text-first route acknowledgements	Player sees Terminal solved, Survivor route open, Extraction ready, Language save refreshed, and CHECKPOINT SAVED start-screen resume feedback without relying on audio, memory, or opening the journal.
ExpandedExtractionSetPieces	SpawnExpandedExtractionSetPieceForCity final extraction staging	Extraction labels connect the rescued survivor, lesson focus, city route, and landmark to the authored end-of-city extraction set piece	Player sees the coding payoff carried into rooftop, convoy, boat, rail, bridge, or helipad-command staging before using the helipad.
InteriorMissionSpaces	SpawnInteriorMissionSpacesForCity room labels and mission boards	Open-front hospital, school, store, transit, and civic records interiors connect curriculum, survivor, landmark, and route context to functional pickups	Player can read why each room matters, collect a role-specific resource, and follow terminal -> survivor -> helipad context without losing the selected-language run.
ChallengeRoomConceptArt	SpawnChallengeRoomConceptArtLayer room labels, briefing board, lesson artifact, and curriculum-first review gallery	variables lab, loop control room, array index hall, function relay room, debugger test bay, and eight visible/hidden validator stations become selected-language concept spaces before terminal validation	Player can walk the concept rooms, read visible/hidden test framing, match the lesson artifact to the active challenge, inspect all eight validator archetypes with mentor/survivor proxies, and return to the protected terminal.
LanguageProgress	LanguageSolveCounts/LanguageAttemptCounts	Per-language practice remains visible	HUD language counters update after solve.
TerminalDiegeticRestyle	TerminalStatusText + CodeEditorFrame + DiagnosticsHeaderText	Language, toolchain, validation, and rescue-state feedback are framed as a readable safehouse terminal	Player sees selected track, compiler/fallback state, code editor, diagnostics, and action grouping without losing learning context.
SkillTreeProgressionClarity	PointsText + SummaryText + SkillStatusLabel	ResearchPoints, language run, learning mastery, and skill unlock states are surfaced in the pause skill tree	Player can tell which upgrades are active, affordable, or short on RP and knows unlocks save to the active language run.
