minute	objective	player_action	success_signal	fallback_guidance
0	Start and orient	Read FIRST-SESSION ROUTE PREVIEW and LANGUAGE SAVE ROSTER on the start screen, select NEW or RESUME for a coding language, then read HUD, move with WASD, and look with mouse	Start screen shows language rows, per-language NEW/RESUME actions, Java/C/C+/C++/Python/MATLAB save availability, protected terminal -> survivor marker -> extraction preview, language-only save slot/resume status, and player moves without UI overlap	Preview uses the current/default profile; each row deploys only the clicked language, and Simplified hints can reduce HUD control text after gameplay begins.
1	Reach city entry	Follow route stripe, objective panel, queued radio briefing, radio relay, objective panel, radio scan beacon, NAV MAP nearest cue, HUD FIRST TEN MINUTES FIELD CHECKLIST, and journal FAIL-SAFE OBJECTIVE BOARD	Player reaches New York entry without blocked access while understanding the active language route scan, queued radio briefing survives HUD startup, radio relay names language, terminal, survivor, landmark, and next step, the radio scan beacon points to the active terminal, the HUD field checklist keeps protected terminal -> survivor marker -> extraction plus current phase/recovery keys visible, and the fail-safe objective board names the selected language, save slot, return markers, protected terminal safety, and start-screen Resume state	Press T to return to active route; use the minimap legend to distinguish code, survivor, language, aid, and threat markers, read the field checklist for E/Ctrl+P/J/P/Esc cues, or open J for T objective jump, Backspace/F8 safe recovery, and P/Esc pause/save reminders.
2	Confirm safety controls	Press Backspace or F8	Player recovers to safe city arena location	Recovery subtitle and log marker appear.
3	Arm and learn combat	Fire, reload, swap weapon, collect scanner, flashlight, ammo pouch, bypass kit, armor, and medkit	Player sees ammo/reload/weapon HUD feedback plus scanner, flashlight, ammo pouch, bypass kit, armor, and medkit counts	Use Q medkit and squad support if pressured; L flashlight and Z scanner confirm the expanded field kit.
4	Meet squad	Use Y/U/N/O	Player sees regroup, formation, medic, hold/follow feedback with named role pips, role-specific callouts, role signal light, support-fire recoil, medic pulse, and order acknowledgment cues	Squad HUD line reports Mira/Tomas/Ada/Noor/Briggs status, active roles, pips, medic readiness, current order, and CompanionGestureReadability visual cues.
5	Enter interior mission spaces; Inspect challenge concept rooms; then open protected terminal	Inspect hospital, school, store, transit, and civic records interiors; walk the variables lab, loop control room, array index hall, function relay room, debugger test bay, and curriculum-first review gallery; confirm the nearby case file can be collected; then interact with terminal	Player sees room labels, mission boards, functional pickups, selected-language concept rooms, a saved case-file pickup, the active lesson artifact, and eight visible/hidden validator stations with mentor/survivor proxies before combat pauses and the coding editor opens	Use E/Enter/Tab/G on terminal marker; the journal case-file summary confirms saved optional context, and the gallery explains why hidden tests prove generality.
6	Understand validation	Read prompt, use PRACTICE RUN [Ctrl+P], then submit starter/correct solution	Practice feedback shows PRACTICE RUN - NO SAVE ADVANCE, PRACTICE-ONLY DEBRIEF, Practice Run Lock, unchanged selected-language save profile, and live validation still available; pass/fail feedback explains the committed result with POST-SOLVE DEBRIEF or REPAIR DEBRIEF guidance, ObjectiveRouteToast confirms Terminal solved, Survivor route open, and score gain after success, REWARD CHOICE KIOSK offers one Research Boost, Field Kit, or Crafting Cache after live solve, journal LAST LEARNING DEBRIEF stores the latest selected-language takeaway, CHALLENGE REPLAY BRIEF stores replay guidance, and LANGUAGE PROFILE RECAP updates profile stats and review recommendation	Use practice run before committing, choose one reward after live solve, use hints, first failed check text, the next validation move, the saved journal debrief, CHALLENGE REPLAY BRIEF visible goal and hidden-test replay note, LANGUAGE PROFILE RECAP stage recap/profile stats/save-slot preview, and the route toast if the next objective is unclear.
7	Rescue survivor	Follow terminal intel to survivor	Survivor rescue records once, the post-rescue line names the active language fix, ObjectiveRouteToast confirms Survivor rescued, Extraction ready, and Language save refreshed, the rescue beacon changes from SURVIVOR PING to RESCUE BEACON, the journal dossier changes from ROUTE OPEN to RESCUED, and the SURVIVOR INTEL ARCHIVE mirrors that rescued status after resume	Journal shows active route summary, LAST LEARNING DEBRIEF, CHALLENGE REPLAY BRIEF, LANGUAGE PROFILE RECAP, FAIL-SAFE OBJECTIVE BOARD, survivor intel dossier, SURVIVOR INTEL ARCHIVE, text-first active/completed state labels, the journal field ops readout, language save, route map, field inventory, survivor intel, and dispatch confirms helipad route, save update, and RESCUED dossier/archive after resume.
8	Use save/pause	Open P/Escape, save a language backup, settings	Player can save a manual backup without losing the start-screen language resume slot, and the HUD CHECKPOINT SAVED route toast names the active language resume path	Settings menu scrolls on smaller displays, previews queued accessibility/audio/gameplay choices, and Save Backup refreshes the active language run.
9	Graduate city	Reach extraction/helipad after objectives	Extraction debrief shows NEXT OPERATION, active language save, cleared-city redeploy choices, and an expanded extraction set piece with rooftop, convoy, boat, rail, bridge, or helipad-command staging	Use T after graduation to move to next route.
10	Review mastery	Read HUD learning line, open J for LANGUAGE PROFILE RECAP, and if an end-state appears confirm the language resume summary	Player understands language/streak/no-hint progress, profile stats, review recommendation, stage recap, save-slot preview, and where the selected-language run will resume	Replay tutorial from pause if confused; death/victory screens show the start-screen language resume slot.
