rank	recommendation	status	boundary	evidence	next_review_step
1	Human first-ten-minutes playthrough	manual_boundary	physical_human	Documentation/QA_PLAYTEST_CHECKLIST.md	Run with a real player and record subjective findings.
2	Refresh package and run full QA chain	automated_ready	local_machine	Run_Full_QA_Audit.command; Run_NonHuman_Release_Readiness.command	Run after every package refresh.
3	Apple Developer ID signing and notarization	credential_boundary	external_credentials	Documentation/SIGNING_NOTARIZATION_RUNBOOK_2026-06-18.md	Run strict distribution preflight after credentials are supplied.
4	Clean source-control slices	documented	local_repo	Documentation/SOURCE_CONTROL_HANDOFF_2026-06-18.md	Stage runtime, docs, scripts, content, and assets separately.
5	Continue GameMode modularization	partial_implementation	architecture	Source/CodeRescueUnreal/CodeRescueGameModeSpawning.cpp; Scripts/profile_city_layers_static.py	Extract audio, city identity, safehouse, combat, and arena ownership files.
6	In-game control profile/remap work	implemented	conservative_runtime	Source/CodeRescueUnreal/CodeRescueSettingsWidget.cpp; Saved/Config/ControlProfiles/default_controls_profile.json	Use exported contract before arbitrary key-capture refactor.
7	Per-layer performance telemetry	automated_static	local_machine	Scripts/profile_city_layers_static.py; Saved/Profiling/city_layer_static_profile_latest.json	Add runtime stat capture when Unreal perf session is available.
8	Fresh visual regression set	automated_ready	local_machine	Run_Visual_Regression_Audit.command; Scripts/generate_visual_regression_manifest.py	Capture screenshots on refreshed package/editor.
9	Difficulty tuning across six presets	automated_contract	needs_human_feel	Content/CodeRescueData/difficulty_presets.tsv; Scripts/verify_demo_readiness_pass.py	Run one hands-on pass per preset.
10	Accessibility settings observation	automated_contract	needs_human_observation	Content/CodeRescueData/accessibility_settings_manifest.tsv; Source/CodeRescueUnreal/CodeRescueSettingsWidget.cpp	Observe visible effect of each toggle in play.
11	Replace priority placeholder geometry	asset_pipeline_ready	asset_authoring	Content/CodeRescueData/production_art_coverage_manifest.tsv; Documentation/ASSET_AUDIO_COMPLETION_GUIDE.md	Assign authored optimized assets in Unreal.
12	Upgrade zombie AI toward Behavior Trees	documented	future_architecture	Source/CodeRescueUnreal/CodeRescueAIController.cpp; Documentation/zombie_system/07_ai_controller.md	Add BT assets and state transitions in a dedicated AI pass.
13	Replace fallback character visuals with skeletal/animated archetypes	asset_pipeline_ready	asset_authoring	Content/CodeRescueData/animation_coverage_manifest.tsv; Scripts/build_zombie_variants_table.py	Bind imported meshes and animation blueprints in editor.
14	Expand cooked radio coverage beyond Maple 230 subset	automated_contract	content_generation	Documentation/MAPLE_NARRATION_STATUS_2026-06-18.md; Scripts/audit_maple_audio_assets.py	Generate/import remaining approved voice lines after audio QA.
15	Improve audio mix and cue coverage	automated_contract	needs_audio_review	Content/CodeRescueData/audio_coverage_manifest.tsv; Documentation/ASSET_AUDIO_COMPLETION_GUIDE.md	Author sound classes/mixes and review by ear.
16	Deepen curriculum feedback and post-solve explanations	content_ready	authoring	Content/CodeRescueData/curriculum_feedback_manifest.tsv; Content/CodeRescueData/curriculum_database.json	Add authored explanations for advanced later-city lessons.
17	Improve terminal editor UX	partial_implementation	ui_followup	Source/CodeRescueUnreal/CodeTerminalWidget.cpp; Scripts/verify_curriculum_validator_shapes.py	Polish wrapping, reset, dependency state, and validation feedback in terminal UI.
18	Deterministic binary save/load commandlet test	automated_contract	unreal_commandlet	Documentation/SAVE_COMPATIBILITY_TEST_PLAN_2026-06-18.md; Scripts/verify_save_compatibility_pass.py	Add commandlet fixture that writes and reloads a real save binary.
19	Polish onboarding pacing	automated_contract	needs_human_feel	Content/CodeRescueData/first_ten_minutes_onboarding.tsv; Documentation/QA_PLAYTEST_CHECKLIST.md	Use playthrough observations to reduce first-city overload.
20	Hosted CI/release automation	documented	external_infrastructure	Documentation/DEMO_READINESS_ROADMAP_2026-06-18.md	Migrate local scripts to hosted Mac CI once licensing/storage are settled.
