family	role	mesh	animation	world_hook	coverage_status
survivor	ready_idle	/Game/YI_ModularZombies/Demo/Characters/Mannequins/Meshes/SKM_Quinn.SKM_Quinn	/Game/YI_ModularZombies/Demo/Characters/Mannequins/Animations/Quinn/MF_Idle.MF_Idle	SpawnBespokeAuthoredAssetRefinementLayer	wired_in_world_clip_stage;player_operator;first_person_arms;survivor_hero;friendly_npc;companion_hero;zombie_crowd;boss_warden;CodeRescueRetargetRig::ApplyRuntimeRetargetRigSlots;ik_control_rig_runtime_slot_ready;FootGroundingRuntimeContract;FootGroundingExcluded_FirstPersonArms;ApplyFootGroundingReview;foot_grounding_contract_ready;Runtime retarget and Control Rig slots plus foot grounding;Foot grounding review bay;maya_player_operator;maya_first_person_arms;maya_survivor_hero;maya_friendly_npc;maya_companion_hero;maya_zombie_crowd;maya_boss_warden;maya_cleanup_profile;maya_cleanup_contract_ready;zombie_family_dog;zombie_family_elites
engineer	patrol_walk	/Game/YI_ModularZombies/Demo/Characters/Mannequins/Meshes/SKM_Manny.SKM_Manny	/Game/YI_ModularZombies/Demo/Characters/Mannequins/Animations/Manny/MM_Walk_InPlace.MM_Walk_InPlace	SpawnBespokeAuthoredAssetRefinementLayer	wired_in_world_clip_stage
nurse_threat	idle	/Game/ZombieFemale/Asset/Meshes/ZombieFemale_NurseOutfit.ZombieFemale_NurseOutfit	/Game/ZombieFemale/Asset/Animations/ANMS_ZombieFemaleIdle05.ANMS_ZombieFemaleIdle05	SpawnBespokeAuthoredAssetRefinementLayer	wired_in_world_clip_stage
dog_scout	sit_idle	/Game/DogZombie/Meshes/SK_DogZombie.SK_DogZombie	/Game/DogZombie/Animations/anim_Dog_Sit_Idle.anim_Dog_Sit_Idle	SpawnBespokeAuthoredAssetRefinementLayer	wired_in_world_clip_stage
survivor	walk_forward	/Game/YI_ModularZombies/Demo/Characters/Mannequins/Meshes/SKM_Quinn.SKM_Quinn	/Game/YI_ModularZombies/Demo/Characters/Mannequins/Animations/Quinn/MF_Walk_Fwd.MF_Walk_Fwd	SpawnBespokeAuthoredAssetRefinementLayer	wired_in_world_clip_stage
engineer	run_forward	/Game/YI_ModularZombies/Demo/Characters/Mannequins/Meshes/SKM_Manny.SKM_Manny	/Game/YI_ModularZombies/Demo/Characters/Mannequins/Animations/Manny/MM_Run_Fwd.MM_Run_Fwd	SpawnBespokeAuthoredAssetRefinementLayer	wired_in_world_clip_stage
business_threat	walk	/Game/YI_ModularZombies/Meshes/ZombieM04/Zombie/SK_Zombie_M04_01.SK_Zombie_M04_01	/Game/YI_ModularZombies/Animation/MocapOnline/UE4/In_Place/Zombie_Walk_F_1_Loop_IPC.Zombie_Walk_F_1_Loop_IPC	SpawnBespokeAuthoredAssetRefinementLayer	wired_in_world_clip_stage
bloated_threat	attack	/Game/YI_ModularZombies/Meshes/ZombieF01/Zombie/SK_Zombie_F01_01.SK_Zombie_F01_01	/Game/YI_ModularZombies/Animation/MocapOnline/UE4/In_Place/Zombie_Atk_Arms_3_SHORT_Loop_IPC.Zombie_Atk_Arms_3_SHORT_Loop_IPC	SpawnBespokeAuthoredAssetRefinementLayer	wired_in_world_clip_stage
dog_scout	run_in_place	/Game/DogZombie/Meshes/SK_DogZombie.SK_DogZombie	/Game/DogZombie/Animations/anim_Dog_Run_InPlace.anim_Dog_Run_InPlace	SpawnBespokeAuthoredAssetRefinementLayer	wired_in_world_clip_stage
base_threat	walk	/Game/Zombie/BaseMesh/SK_Zombie.SK_Zombie	/Game/Zombie/Demo/Animations/ThirdPersonWalk.ThirdPersonWalk	SpawnBespokeAuthoredAssetRefinementLayer	wired_in_world_clip_stage
nurse_threat	attack	/Game/ZombieFemale/Asset/Meshes/ZombieFemale_NurseOutfit.ZombieFemale_NurseOutfit	/Game/ZombieFemale/Asset/Animations/ANMS_ZombieFemaleAttackForward05.ANMS_ZombieFemaleAttackForward05	SpawnBespokeAuthoredAssetRefinementLayer	wired_in_world_clip_stage
business_threat	attack	/Game/YI_ModularZombies/Meshes/ZombieM04/Zombie/SK_Zombie_M04_01.SK_Zombie_M04_01	/Game/YI_ModularZombies/Animation/MocapOnline/UE4/In_Place/Zombie_Atk_Loop_1_IPC.Zombie_Atk_Loop_1_IPC	SpawnBespokeAuthoredAssetRefinementLayer	wired_in_world_clip_stage
bloated_threat	fall_death	/Game/YI_ModularZombies/Meshes/ZombieF01/Zombie/SK_Zombie_F01_01.SK_Zombie_F01_01	/Game/YI_ModularZombies/Animation/MocapOnline/UE4/In_Place/Zombie_Death_Hit_Back_1_IPC.Zombie_Death_Hit_Back_1_IPC	SpawnBespokeAuthoredAssetRefinementLayer	wired_in_world_clip_stage
