namespace	key	source_text	context
CodeRescueCampaign	campaign.001.new_york_ny.terminal_title	New York: Emergency Grid Sum	Terminal title for New York, NY
CodeRescueCampaign	campaign.001.new_york_ny.mission_brief	New York has unstable backup cells. Write totalPower/total_power to sum three battery readings and restore the city hub. Stage 1 - Foundations. Curriculum focus: function inputs, arithmetic, and return values. Stage goal: Build reliable function signatures, returns, arithmetic, booleans, and short string transforms. Graduation strategy: return the computed total from the function instead of printing it. Recommended first pass: Java. Hint: the harness calls your function directly, so return the value instead of only printing it. Architecture: Coastal Port with three-cell power dais around New York Signal Spire, signature 001 Play detail: Power-cell puzzle 1: three visible cells feed one returned total. Language track: Java track emphasizes exact public static signatures, typed arrays, and readable branch blocks. Current concept: function inputs, arithmetic, and return values. Rank 001 launch track note: this run keeps the campaign terminal on the language selected before deployment. Learning support: Why this matters: returning a computed value is the first reliable contract between code and the game world. Predict before coding: predict the returned total for three small inputs before editing. Optional worked example: worked example: 20, 15, and 10 return 45. Code-trace mini-game: trace one visible case before editing. Mistake glossary: printing instead of returning hides the value from the validator. Hidden-test replay: after validation, compare the visible case with the seeded hidden batch 2. Visual debugger: three power cells light as inputs combine into one return value so the function contract is visible. Progression plan: curriculum map places this mission in Stage 1 - Foundations; spaced review path: first-pass foundations; expansion bridge: nested-loop and radio parsing preview; side objectives reward comments, edge cases, and clean returns. Character plan: power-grid apprentice mentor NPC, named survivor team, role icon, post-rescue dialogue, recurring radio ally, readable nameplate, and debrief vignette for New York. Flow plan: first-session route preview, practice-only terminal option, replay-from-journal hook, beginner/normal/challenge tuning band 1, terminal-pressure dampener, return markers, fail-safe objective board, reward choice kiosk, stage recap, profile stats, review recommendation, and save-slot preview. Accessibility and polish plan: scalable terminal/HUD/subtitle text, colorblind-safe markers, remappable keyboard/controller prompts, screen-reader mission summary, wrapped severity-labeled errors, audio stingers, Northeast Relay ambient loop, low-combat learning note, photo/inspect cue, main-menu curriculum access, loading tip, and subtitle-safe radio layout. QA plan: runtime spawn audit sample 001, tutorial-terminal-rescue-extraction-fast-travel smoke path, performance budgets for enemies/proxies/props/lights/text, packaged-build audit, and weekly release checklist sign-off. Visible test: totalPower(20, 15, 10) must return 45. Hidden tests: smaller city-grid inputs include zeros and variant batch 2.	Terminal mission brief for New York, NY
CodeRescueCampaign	campaign.001.new_york_ny.radio_briefing	Radio briefing: New York, NY is stop 001 on the national route. Secure the New York Signal Spire in the Coastal Port, finish the function inputs, arithmetic, and return values lesson, then extract the survivor team. New city feature: Power-cell puzzle 1: three visible cells feed one returned total.	Radio/subtitle briefing for New York, NY
CodeRescueCampaign	campaign.001.new_york_ny.hint	Hint: the harness calls your function directly, so return the value instead of only printing it.	Coding hint for New York, NY
CodeRescueCampaign	campaign.001.new_york_ny.visible	Visible test: totalPower(20, 15, 10) must return 45.	Visible test description for New York, NY
CodeRescueCampaign	campaign.001.new_york_ny.hidden	Hidden tests: smaller city-grid inputs include zeros and variant batch 2.	Hidden test description for New York, NY
CodeRescueCampaign	campaign.002.los_angeles_ca.terminal_title	Los Angeles: Access Gate Boolean Logic	Terminal title for Los Angeles, CA
CodeRescueCampaign	campaign.002.los_angeles_ca.mission_brief	Los Angeles is locked behind a rescue gate. Write shouldUnlock/should_unlock so the gate opens only when both safety conditions are true. Stage 1 - Foundations. Curriculum focus: boolean safety gates. Stage goal: Build reliable function signatures, returns, arithmetic, booleans, and short string transforms. Graduation strategy: build a tiny truth table before writing the condition. Recommended first pass: C. Hint: list every boolean input pair before deciding whether && or || matches the safety rule. Architecture: Coastal Port with dual-gate checkpoint around Los Angeles Rescue Arch, signature 002 Play detail: Truth-table gate 2: compare four safety states before opening the survivor route. Language track: C track emphasizes buffer safety, pointer discipline, null terminators, and explicit counts. Current concept: boolean safety gates. Rank 002 launch track note: this run keeps the campaign terminal on the language selected before deployment. Learning support: Why this matters: boolean logic is how software turns policy into a safe yes-or-no decision. Predict before coding: predict which of the four true/false input pairs should open the route. Optional worked example: worked example: true && false stays locked; true && true opens. Code-trace mini-game: trace one visible case before editing. Mistake glossary: OR opens unsafe pairs; missing return leaves the harness with no decision. Hidden-test replay: after validation, compare the visible case with the seeded hidden batch 3. Visual debugger: truth-table lamps show boolean inputs and the final gate state so players can trace every safe and unsafe pair before coding. Progression plan: curriculum map places this mission in Stage 1 - Foundations; spaced review path: first-pass foundations; expansion bridge: nested-loop and radio parsing preview; side objectives reward comments, edge cases, and clean returns. Character plan: systems mechanic mentor NPC, named survivor team, role icon, post-rescue dialogue, recurring radio ally, readable nameplate, and debrief vignette for Los Angeles. Flow plan: first-session route preview, practice-only terminal option, replay-from-journal hook, beginner/normal/challenge tuning band 1, terminal-pressure dampener, return markers, fail-safe objective board, reward choice kiosk, stage recap, profile stats, review recommendation, and save-slot preview. Accessibility and polish plan: scalable terminal/HUD/subtitle text, colorblind-safe markers, remappable keyboard/controller prompts, screen-reader mission summary, wrapped severity-labeled errors, audio stingers, Western Corridor ambient loop, low-combat learning note, photo/inspect cue, main-menu curriculum access, loading tip, and subtitle-safe radio layout. QA plan: runtime spawn audit sample 002, tutorial-terminal-rescue-extraction-fast-travel smoke path, performance budgets for enemies/proxies/props/lights/text, packaged-build audit, and weekly release checklist sign-off. Visible test: shouldUnlock(true, true) must return true. Hidden tests: unsafe pairs true/false, false/true, and false/false must all stay locked.	Terminal mission brief for Los Angeles, CA
CodeRescueCampaign	campaign.002.los_angeles_ca.radio_briefing	Radio briefing: Los Angeles, CA is stop 002 on the national route. Secure the Los Angeles Rescue Arch in the Coastal Port, finish the boolean safety gates lesson, then extract the survivor team. New city feature: Truth-table gate 2: compare four safety states before opening the survivor route.	Radio/subtitle briefing for Los Angeles, CA
CodeRescueCampaign	campaign.002.los_angeles_ca.hint	Hint: list every boolean input pair before deciding whether && or || matches the safety rule.	Coding hint for Los Angeles, CA
