weapon_type	display_name	presentation_profile	visual_silhouette	motion_cues	accessibility_contract	authoring_hook
Pistol	Balanced Handgun	WeaponProfile_BalancedHandgun	compact sidearm block with neutral steel tint	short recoil kick and light reload dip	owner-only first-person model, text-backed weapon HUD still primary	Replace fallback cube with authored handgun mesh and fire/reload montage.
Shotgun	Pump Shotgun	WeaponProfile_PumpShotgun	long pump-gun block with warm stock tint	heavy recoil kick and broad reload roll	shape and timing differ from rifle without color dependency	Replace fallback cube with pump shotgun mesh, pump action, and shell reload montage.
Rifle	Assault Rifle	WeaponProfile_AssaultRifle	long medium rifle block with field-green tint	medium recoil and tactical reload dip	long silhouette separates rifle from SMG/shotgun	Replace fallback cube with assault rifle mesh and fire/reload montage.
Grenade	Frag Grenade	WeaponProfile_FragGrenade	round compact canister stance	throw-style recoil and strong hand roll	compact silhouette communicates throwable before fire	Replace fallback cube with grenade mesh and throw animation.
CombatKnife	Combat Knife	WeaponProfile_CombatKnife	thin blade-like block angled across the hand	fast melee slash kick with minimal reload dip	no-ammo melee remains visually readable	Replace fallback cube with knife mesh and melee swing montage.
HeavyHandgun	Heavy Handgun	WeaponProfile_HeavyHandgun	larger sidearm block with darker metal tint	stronger handgun recoil and slower reload dip	shape separates heavy pistol from starter handgun	Replace fallback cube with heavy pistol mesh and reload montage.
BurstHandgun	Burst Handgun	WeaponProfile_BurstHandgun	lean sidearm block with cool blue tint	short rapid-fire recoil and quick reload dip	shape and recoil cadence support burst identity	Replace fallback cube with burst pistol mesh and burst fire montage.
TacticalShotgun	Tactical Shotgun	WeaponProfile_TacticalShotgun	long narrow shotgun block with tactical tint	tighter shotgun recoil and reload roll	shape separates tactical shotgun from pump/auto shotguns	Replace fallback cube with tactical shotgun mesh and reload montage.
AutoShotgun	Auto Shotgun	WeaponProfile_AutoShotgun	bulky close-range shotgun block	quick heavy recoil with larger moving mass	bulk reads as suppression weapon before firing	Replace fallback cube with auto shotgun mesh and drum/box reload montage.
SMG	SMG	WeaponProfile_SMG	short automatic block with blue-gray tint	fast low recoil and lively bob	compact automatic shape separates SMG from rifle	Replace fallback cube with SMG mesh and fast reload montage.
PrecisionRifle	Precision Rifle	WeaponProfile_PrecisionRifle	extra-long slim rifle block	deliberate heavy recoil with small bob	longest silhouette communicates scoped precision role	Replace fallback cube with scoped rifle mesh and bolt/fire montage.
SemiAutoRifle	Semi-Auto Rifle	WeaponProfile_SemiAutoRifle	long slim rifle block	medium precision recoil and reload dip	long shape separates semi-auto rifle from automatic rifle	Replace fallback cube with marksman rifle mesh and reload montage.
Magnum	Magnum	WeaponProfile_Magnum	large heavy sidearm block with brass tint	strongest handgun recoil and assertive reload roll	large compact profile reads as rare stopping power	Replace fallback cube with magnum mesh and heavy recoil montage.
BoltLauncher	Bolt Launcher	WeaponProfile_BoltLauncher	angled compact launcher block	crossbow-like recoil and reload roll	unique angled stance separates bolt launcher from firearms	Replace fallback cube with bolt launcher mesh and cock/reload montage.
RocketLauncher	Rocket Launcher	WeaponProfile_RocketLauncher	large tube block with thick launcher mass	heaviest recoil and largest reload dip	bulky tube reads as explosive boss breaker	Replace fallback cube with launcher mesh and tube reload montage.
IncendiaryGrenade	Incendiary Grenade	WeaponProfile_IncendiaryGrenade	round fire-canister stance with warm tint	throw recoil plus pronounced hand roll	shape plus HUD text separates flame grenade from frag	Replace fallback cube with incendiary grenade mesh and throw montage.
FlashGrenade	Flash Grenade	WeaponProfile_FlashGrenade	tall compact canister stance	throw recoil with quick utility roll	tall canister silhouette separates stun utility from damage grenades	Replace fallback cube with flash grenade mesh and throw montage.
