target	capture_surface	expected_signal	review_note
NewYorkEntry	VisualReview screenshot	Entry pad, route stripe, and no blocking perimeter	The first screen must communicate the playable route.
CityArenaBoundary	VisualReview screenshot	Lock walls, corner beacons, skyline edge, Backspace/F8 guidance	Boundary should feel intentional, not like a missing exit.
HumanScaleRouteAccess	VisualReview screenshot	entry, armory, safehouse, terminal, survivor, and helipad route pads plus nonblocking critical route	Route architecture should read as human-scale, labeled, and passable around doors, stairs, cover, and fallback dressing.
CityStreetGridStorefrontShell	VisualReview screenshot	CITY STREET GRID + STOREFRONT SHELL sign, road grid, sidewalks, crosswalk stripes, district signs, dense facades, shop doors, windows, awnings, and store-role labels	City blocks should read as inhabitable streets with modular storefront shells and nonblocking crosswalk/curb cues, not only scattered skyline blocks.
TerminalSafehouse	VisualReview screenshot	Protected coding zone, terminal marker, no-zombie signage	Player should understand combat pauses for learning.
ProtectedLearningZoneAI	VisualReview screenshot	Tagged safehouse boundary, terminal anchor, no-zombie learning-zone signage, and nearby enemy held outside the learning area	Player should read the lab as protected, with combat pressure visibly resuming outside the safehouse route.
CodingTerminalSurface	Manual screenshot	Language/status strip, framed code editor, diagnostics header, grouped terminal actions, PRACTICE RUN [Ctrl+P], Practice Run Lock, and post-solve/repair debrief output	Coding terminal must read as a safehouse tool that teaches the result, supports rehearsal without save advance, and does not feel like a loose form overlay.
TerminalPracticeRun	Manual screenshot	PRACTICE RUN [Ctrl+P], PRACTICE RUN - NO SAVE ADVANCE output, PRACTICE-ONLY DEBRIEF, Practice Run Lock, unchanged language save, and live VALIDATE CODE still enabled	Practice-only terminal option must let the player rehearse code feedback before committing progress while preserving selected-language save/resume behavior.
TerminalRewardChoiceKiosk	Manual screenshot	Reward choice row with REWARD: RESEARCH +2 RP, REWARD: FIELD KIT, REWARD: CRAFTING CACHE, REWARD CHOICE KIOSK pending text, claimed text after selection, and disabled buttons after claim	The post-solve reward choice should feel like a real one-time selected-language progression choice, not a decorative label or duplicate farm.
PersistentLearningDebrief	Manual screenshot	Journal LAST LEARNING DEBRIEF showing selected language, save slot, terminal challenge, concept, score, and saved post-solve or assisted takeaway	Closing the terminal or resuming from the start-screen language slot must not erase the player's latest learning explanation.
SelectedLanguageTerminalFlow	Manual screenshot	Start screen language rows, resume buttons, terminal LOCKED TRACK banner, Language Run Lock validation output, and language save summary	The selected language must remain visible from launch choice through terminal validation, save update, and future start-screen resume.
FirstSessionRoutePreview	Manual screenshot	Launch start screen with FirstSessionRoutePreviewText, FIRST-SESSION ROUTE PREVIEW, LANGUAGE SAVE ROSTER, protected terminal -> survivor marker -> extraction copy, language-only save slot, and New/Resume language rows	The first screen must explain the route, track lock, all-language save availability, and resume-safe language save before active play begins.
SkillTreeProgressionSurface	Manual screenshot	ResearchPoints header, language save summary, unlocked/ready/locked node labels, feedback line	Skill tree must make meta-progression readable before the player spends RP.
SurvivorIntelDossier	Manual screenshot	Journal card with survivor status, contact, location, lesson payoff, validation line, language run, and next step	Terminal success must feel like actionable rescue intel, not only a score popup.
SurvivorIntelArchive	Manual screenshot	Journal SURVIVOR INTEL ARCHIVE card with selected language, save slot, latest terminal, contact, route, score, assisted/clean solve summary, and rescued status after relaunch	Resume from the start-screen language slot must preserve the latest uploaded survivor intel instead of relying on terminal output history.
