rank	slug	city	region	district_style	art_kit	landmark	architecture_signature	novel_gameplay_detail	all_city_layers
1	new_york_ny	New York	Northeast Relay	Northeast Relay power-grid substation	Coastal Port	New York Signal Spire	Coastal Port with three-cell power dais around New York Signal Spire, signature 001	Power-cell puzzle 1: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
2	los_angeles_ca	Los Angeles	Western Corridor	Western Corridor security checkpoint	Coastal Port	Los Angeles Rescue Arch	Coastal Port with dual-gate checkpoint around Los Angeles Rescue Arch, signature 002	Truth-table gate 2: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
3	chicago_il	Chicago	Midwest Grid	Midwest Grid power-grid substation	Great Lakes Industrial	Chicago Data Beacon	Great Lakes Industrial with three-cell power dais around Chicago Data Beacon, signature 003	Power-cell puzzle 3: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
4	houston_tx	Houston	Southern Evac Line	Southern Evac Line radio tower district	Desert Solar Grid	Houston Command Obelisk	Desert Solar Grid with backward radio mast around Houston Command Obelisk, signature 004	Radio rewind mast 4: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
5	phoenix_az	Phoenix	Western Corridor	Western Corridor power-grid substation	Desert Solar Grid	Phoenix Relay Bridge	Desert Solar Grid with three-cell power dais around Phoenix Relay Bridge, signature 005	Power-cell puzzle 1: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
6	philadelphia_pa	Philadelphia	Northeast Relay	Northeast Relay security checkpoint	Latin Metro	Philadelphia Power Crown	Latin Metro with dual-gate checkpoint around Philadelphia Power Crown, signature 006	Truth-table gate 2: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
7	san_antonio_tx	San Antonio	Southern Evac Line	Southern Evac Line power-grid substation	Desert Solar Grid	San Antonio Signal Spire	Desert Solar Grid with three-cell power dais around San Antonio Signal Spire, signature 007	Power-cell puzzle 3: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
8	san_diego_ca	San Diego	Western Corridor	Western Corridor radio tower district	Coastal Port	San Diego Rescue Arch	Coastal Port with backward radio mast around San Diego Rescue Arch, signature 008	Radio rewind mast 4: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
9	dallas_tx	Dallas	Southern Evac Line	Southern Evac Line power-grid substation	Desert Solar Grid	Dallas Data Beacon	Desert Solar Grid with three-cell power dais around Dallas Data Beacon, signature 009	Power-cell puzzle 1: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
10	jacksonville_fl	Jacksonville	Southern Evac Line	Southern Evac Line security checkpoint	Coastal Port	Jacksonville Command Obelisk	Coastal Port with dual-gate checkpoint around Jacksonville Command Obelisk, signature 010	Truth-table gate 2: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
11	fort_worth_tx	Fort Worth	Southern Evac Line	Southern Evac Line power-grid substation	Desert Solar Grid	Fort Worth Relay Bridge	Desert Solar Grid with three-cell power dais around Fort Worth Relay Bridge, signature 011	Power-cell puzzle 3: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
12	san_jose_ca	San Jose	Western Corridor	Western Corridor radio tower district	Coastal Port	San Jose Power Crown	Coastal Port with backward radio mast around San Jose Power Crown, signature 012	Radio rewind mast 4: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
13	austin_tx	Austin	Southern Evac Line	Southern Evac Line power-grid substation	Desert Solar Grid	Austin Signal Spire	Desert Solar Grid with three-cell power dais around Austin Signal Spire, signature 013	Power-cell puzzle 1: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
14	charlotte_nc	Charlotte	Southern Evac Line	Southern Evac Line security checkpoint	Coastal Port	Charlotte Rescue Arch	Coastal Port with dual-gate checkpoint around Charlotte Rescue Arch, signature 014	Truth-table gate 2: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
15	columbus_oh	Columbus	Midwest Grid	Midwest Grid power-grid substation	Great Lakes Industrial	Columbus Data Beacon	Great Lakes Industrial with three-cell power dais around Columbus Data Beacon, signature 015	Power-cell puzzle 3: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
16	indianapolis_in	Indianapolis	Midwest Grid	Midwest Grid radio tower district	Monsoon Megacity	Indianapolis Command Obelisk	Monsoon Megacity with backward radio mast around Indianapolis Command Obelisk, signature 016	Radio rewind mast 4: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
17	san_francisco_ca	San Francisco	Western Corridor	Western Corridor power-grid substation	Coastal Port	San Francisco Relay Bridge	Coastal Port with three-cell power dais around San Francisco Relay Bridge, signature 017	Power-cell puzzle 1: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
18	seattle_wa	Seattle	Western Corridor	Western Corridor security checkpoint	Coastal Port	Seattle Power Crown	Coastal Port with dual-gate checkpoint around Seattle Power Crown, signature 018	Truth-table gate 2: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
19	denver_co	Denver	Western Corridor	Western Corridor power-grid substation	Latin Metro	Denver Signal Spire	Latin Metro with three-cell power dais around Denver Signal Spire, signature 019	Power-cell puzzle 3: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
20	oklahoma_city_ok	Oklahoma City	Southern Evac Line	Southern Evac Line radio tower district	Metro Core	Oklahoma City Rescue Arch	Metro Core with backward radio mast around Oklahoma City Rescue Arch, signature 020	Radio rewind mast 4: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
21	nashville_davidson_tn	Nashville-Davidson	Southern Evac Line	Southern Evac Line power-grid substation	African Urban Relay	Nashville-Davidson Data Beacon	African Urban Relay with three-cell power dais around Nashville-Davidson Data Beacon, signature 021	Power-cell puzzle 1: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
22	washington_dc	Washington	Southern Evac Line	Southern Evac Line security checkpoint	Capital Command	Washington Command Obelisk	Capital Command with dual-gate checkpoint around Washington Command Obelisk, signature 022	Truth-table gate 2: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
23	el_paso_tx	El Paso	Southern Evac Line	Southern Evac Line power-grid substation	Desert Solar Grid	El Paso Relay Bridge	Desert Solar Grid with three-cell power dais around El Paso Relay Bridge, signature 023	Power-cell puzzle 3: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
24	las_vegas_nv	Las Vegas	Western Corridor	Western Corridor radio tower district	Desert Solar Grid	Las Vegas Power Crown	Desert Solar Grid with backward radio mast around Las Vegas Power Crown, signature 024	Radio rewind mast 4: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
25	boston_ma	Boston	Northeast Relay	Northeast Relay power-grid substation	African Urban Relay	Boston Signal Spire	African Urban Relay with three-cell power dais around Boston Signal Spire, signature 025	Power-cell puzzle 1: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
26	detroit_mi	Detroit	Midwest Grid	Midwest Grid security checkpoint	Great Lakes Industrial	Detroit Rescue Arch	Great Lakes Industrial with dual-gate checkpoint around Detroit Rescue Arch, signature 026	Truth-table gate 2: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
27	louisville_jefferson_county_ky	Louisville/Jefferson County	Southern Evac Line	Southern Evac Line radio tower district	River Lockworks	Louisville/Jefferson County Data Beacon	River Lockworks with backward radio mast around Louisville/Jefferson County Data Beacon, signature 027	Radio rewind mast 3: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
28	portland_or	Portland	Western Corridor	Western Corridor mirror-code archive	Coastal Port	Portland Command Obelisk	Coastal Port with mirrored plaza around Portland Command Obelisk, signature 028	Mirror-code walk 4: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
29	memphis_tn	Memphis	Southern Evac Line	Southern Evac Line drone beacon yard	African Urban Relay	Memphis Relay Bridge	African Urban Relay with timed beacon pylons around Memphis Relay Bridge, signature 029	Beacon cycle yard 1: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
30	baltimore_md	Baltimore	Southern Evac Line	Southern Evac Line power-grid substation	Coastal Port	Baltimore Power Crown	Coastal Port with three-cell power dais around Baltimore Power Crown, signature 030	Power-cell puzzle 2: three visible cells feed one returned total.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
31	milwaukee_wi	Milwaukee	Midwest Grid	Midwest Grid security checkpoint	Great Lakes Industrial	Milwaukee Signal Spire	Great Lakes Industrial with dual-gate checkpoint around Milwaukee Signal Spire, signature 031	Truth-table gate 3: compare four safety states before opening the survivor route.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
32	albuquerque_nm	Albuquerque	Western Corridor	Western Corridor radio tower district	Desert Solar Grid	Albuquerque Rescue Arch	Desert Solar Grid with backward radio mast around Albuquerque Rescue Arch, signature 032	Radio rewind mast 4: visual packets run backward from tower to terminal.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
33	tucson_az	Tucson	Western Corridor	Western Corridor mirror-code archive	Desert Solar Grid	Tucson Data Beacon	Desert Solar Grid with mirrored plaza around Tucson Data Beacon, signature 033	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
34	fresno_ca	Fresno	Western Corridor	Western Corridor drone beacon yard	Coastal Port	Fresno Command Obelisk	Coastal Port with timed beacon pylons around Fresno Command Obelisk, signature 034	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
