title	status	category	source_path	file_evidence	implementation_target	next_action
Project Content: Grooms	already_in_project	character_meta_human_or_groom	/Users/labcomputer/Desktop/Operation_Code_Rescue/code_rescue_unreal_ue57_rebuild_fix/Content/Grooms	.uasset	MetaHuman body slots, Mac hair-card/mesh fallback, Control Rig, IK retarget, and groom strand review	active_or_ready_for_review_cell_validation
Project Content: DogZombie	already_in_project	enemy_character_pack	/Users/labcomputer/Desktop/Operation_Code_Rescue/code_rescue_unreal_ue57_rebuild_fix/Content/DogZombie	.uasset	Combat-district zombie family variants, direct pursuit, damage tuning, and safe-zone exclusion	active_or_ready_for_review_cell_validation
Project Content: UrbanZombie4	already_in_project	enemy_character_pack	/Users/labcomputer/Desktop/Operation_Code_Rescue/code_rescue_unreal_ue57_rebuild_fix/Content/UrbanZombie4	.uasset	Combat-district zombie family variants, direct pursuit, damage tuning, and safe-zone exclusion	active_or_ready_for_review_cell_validation
Project Content: YI_ModularZombies	already_in_project	enemy_character_pack	/Users/labcomputer/Desktop/Operation_Code_Rescue/code_rescue_unreal_ue57_rebuild_fix/Content/YI_ModularZombies	.uasset	Combat-district zombie family variants, direct pursuit, damage tuning, and safe-zone exclusion	active_or_ready_for_review_cell_validation
Project Content: Zombie	already_in_project	enemy_character_pack	/Users/labcomputer/Desktop/Operation_Code_Rescue/code_rescue_unreal_ue57_rebuild_fix/Content/Zombie	.uasset, .umap	Combat-district zombie family variants, direct pursuit, damage tuning, and safe-zone exclusion	active_or_ready_for_review_cell_validation
Project Content: ZombieFemale	already_in_project	enemy_character_pack	/Users/labcomputer/Desktop/Operation_Code_Rescue/code_rescue_unreal_ue57_rebuild_fix/Content/ZombieFemale	.uasset	Combat-district zombie family variants, direct pursuit, damage tuning, and safe-zone exclusion	active_or_ready_for_review_cell_validation
Project Content: Characters	already_in_project	unclassified_download	/Users/labcomputer/Desktop/Operation_Code_Rescue/code_rescue_unreal_ue57_rebuild_fix/Content/Characters	.uasset	Manual review before gameplay use	active_or_ready_for_review_cell_validation
Project Content: CodeRescueAssets	already_in_project	unclassified_download	/Users/labcomputer/Desktop/Operation_Code_Rescue/code_rescue_unreal_ue57_rebuild_fix/Content/CodeRescueAssets	.uasset	Manual review before gameplay use	active_or_ready_for_review_cell_validation
Project Content: StarterContent	already_in_project	unclassified_download	/Users/labcomputer/Desktop/Operation_Code_Rescue/code_rescue_unreal_ue57_rebuild_fix/Content/StarterContent	.uasset	Manual review before gameplay use	active_or_ready_for_review_cell_validation
Project Content: ModernBridges	already_in_project	world_or_environment_pack	/Users/labcomputer/Desktop/Operation_Code_Rescue/code_rescue_unreal_ue57_rebuild_fix/Content/ModernBridges	.uasset, .umap	Major-city district kits, interiors, bridges, storefronts, and human-scale collision	active_or_ready_for_review_cell_validation
Project Content: Parallax_Night_Building_Material	already_in_project	world_or_environment_pack	/Users/labcomputer/Desktop/Operation_Code_Rescue/code_rescue_unreal_ue57_rebuild_fix/Content/Parallax_Night_Building_Material	.uasset	Major-city district kits, interiors, bridges, storefronts, and human-scale collision	active_or_ready_for_review_cell_validation
MetaHuman Downloads Staging	local_staging_visible	character_meta_human_or_groom	/Users/labcomputer/UnrealEngine/MetaHuman_Downloads	.mhpkg	MetaHuman playable/NPC cast slots, Mac hair-card/mesh fallback, and groom strand review	manual_mhpkg_or_dcc_materialization_required
AI for NPC  MetaHuman - Dialog  actions and general intelligence - by Convai	manifest_only_or_binary_cache	ai_or_npc_plugin	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/AI_for_NPC__MetaHuman_-_Dialog__actions_and_general_intelligence_-_by_Convai-ba3145af	manifest	NPC dialogue/behavior experiments behind Mac plugin validation and feature flags	plugin_source_mac_review_required
MetaHuman Animator Depth Processing Plugin	manifest_only_or_binary_cache	character_meta_human_or_groom	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/MetaHuman_Animator_Depth_Processing_Plugin-8efe3d9d	manifest	MetaHuman body slots, Mac hair-card/mesh fallback, Control Rig, IK retarget, and groom strand review	manual_mhpkg_or_dcc_materialization_required
MetaHuman Groom Advanced Kit for Houdini	manifest_only_or_binary_cache	character_meta_human_or_groom	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/MetaHuman_Groom_Advanced_Kit_for_Houdini-165c4244	manifest	MetaHuman body slots, Mac hair-card/mesh fallback, Control Rig, IK retarget, and groom strand review	manual_mhpkg_or_dcc_materialization_required
MetaHuman for Houdini	manifest_only_or_binary_cache	character_meta_human_or_groom	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/MetaHuman_for_Houdini-7bbdfbb5	manifest	MetaHuman body slots, Mac hair-card/mesh fallback, Control Rig, IK retarget, and groom strand review	manual_mhpkg_or_dcc_materialization_required
MetaHuman for Maya	manifest_only_or_binary_cache	character_meta_human_or_groom	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/MetaHuman_for_Maya-9e3bf55e	manifest	MetaHuman body slots, Mac hair-card/mesh fallback, Control Rig, IK retarget, and groom strand review	manual_mhpkg_or_dcc_materialization_required
Dog Zombie	manifest_only_or_binary_cache	enemy_character_pack	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Dog_Zombie-da3dfd97	manifest	Combat-district zombie family variants, direct pursuit, damage tuning, and safe-zone exclusion	import_or_retarget_then_validate
Urban Zombie 4	manifest_only_or_binary_cache	enemy_character_pack	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Urban_Zombie_4-b6e44075	manifest	Combat-district zombie family variants, direct pursuit, damage tuning, and safe-zone exclusion	import_or_retarget_then_validate
Zombie	manifest_only_or_binary_cache	enemy_character_pack	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Zombie-52a84b28	manifest	Combat-district zombie family variants, direct pursuit, damage tuning, and safe-zone exclusion	import_or_retarget_then_validate
Zombie - Bloated Female	manifest_only_or_binary_cache	enemy_character_pack	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Zombie_-_Bloated_Female-b22ce9f9	manifest	Combat-district zombie family variants, direct pursuit, damage tuning, and safe-zone exclusion	import_or_retarget_then_validate
Zombie - Business Suit	manifest_only_or_binary_cache	enemy_character_pack	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Zombie_-_Business_Suit-a7b4c2e9	manifest	Combat-district zombie family variants, direct pursuit, damage tuning, and safe-zone exclusion	import_or_retarget_then_validate
Zombie Female  Nurse	manifest_only_or_binary_cache	enemy_character_pack	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Zombie_Female__Nurse-35246f73	manifest	Combat-district zombie family variants, direct pursuit, damage tuning, and safe-zone exclusion	import_or_retarget_then_validate
ASYNC PHYSICS  Blueprints Library	manifest_only_or_binary_cache	physics_plugin	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/ASYNC_PHYSICS__Blueprints_Library-78cbe2c1	manifest	Async/Chaos physics stress rig and movable cover promotion	plugin_source_mac_review_required
LE Extended Standard Library	manifest_only_or_binary_cache	plugin_or_library	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/LE_Extended_Standard_Library-0aadd41b	manifest	Unreal extended-library candidate behind compile and package validation	plugin_source_mac_review_required
Quest Kit Pro	manifest_only_or_binary_cache	quest_mission_plugin	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Quest_Kit_Pro-0c7f3429	manifest	Mission-board, survivor-intel, and quest kit experiments after Blueprint compile	plugin_source_mac_review_required
Building Interior Cubemap Material Function	manifest_only_or_binary_cache	world_or_environment_pack	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Building_Interior_Cubemap_Material_Function-054496b1	manifest	Major-city district kits, interiors, bridges, storefronts, and human-scale collision	content_import_validation_required
Modern Bridges	manifest_only_or_binary_cache	world_or_environment_pack	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Modern_Bridges-ea4d6c6f	manifest	Major-city district kits, interiors, bridges, storefronts, and human-scale collision	content_import_validation_required
Ashblade - Metahuman Alien	metahuman_package_visible	character_meta_human_or_groom	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Ashblade_-_Metahuman_Alien-517603cb	.mhpkg	MetaHuman body slots, Mac hair-card/mesh fallback, Control Rig, IK retarget, and groom strand review	manual_mhpkg_or_dcc_materialization_required
MetaHuman Groom Starter Kit for Houdini	metahuman_package_visible	character_meta_human_or_groom	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/MetaHuman_Groom_Starter_Kit_for_Houdini-d5a3a803	.mhpkg	MetaHuman body slots, Mac hair-card/mesh fallback, Control Rig, IK retarget, and groom strand review	manual_mhpkg_or_dcc_materialization_required
MetaHuman Groom Starter Kit for Maya	metahuman_package_visible	character_meta_human_or_groom	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/MetaHuman_Groom_Starter_Kit_for_Maya-7a345328	.mhpkg	MetaHuman body slots, Mac hair-card/mesh fallback, Control Rig, IK retarget, and groom strand review	manual_mhpkg_or_dcc_materialization_required
Seo - Editable MetaHuman Character	metahuman_package_visible	character_meta_human_or_groom	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Seo_-_Editable_MetaHuman_Character-3693be83	.mhpkg	MetaHuman body slots, Mac hair-card/mesh fallback, Control Rig, IK retarget, and groom strand review	manual_mhpkg_or_dcc_materialization_required
Ultimate Metahuman Body  Base Adult  Male   Female	metahuman_package_visible	character_meta_human_or_groom	/Users/Shared/UnrealEngine/Launcher/VaultCache/FabLibrary/Ultimate_Metahuman_Body__Base_Adult__Male___Female_-352654c4	.mhpkg	MetaHuman body slots, Mac hair-card/mesh fallback, Control Rig, IK retarget, and groom strand review	manual_mhpkg_or_dcc_materialization_required
