spawn_context	variant_policy	save_behavior	player_readability	primary_code_path	qa_check	status
RegularCityWave	weighted city selection via DT_ZombieVariants plus built-in safe rows	persist assigned variant by stable regular zombie id	Variant-colored marker label names Dog, Urban, Business, Bloated, Nurse, Elite, or fallback family	ApplyCityZombieFamilyVariant in SpawnCampaignCity	verify_zombie_family_variants_slice_pass.py	runtime_ready
PhysicsLaneAmbush	authored default, nurse, and business variants	persist assigned variant by physics-lane horde id	Ambush marker includes the variant family label and tags the marker with the family audit tag	ApplyZombieFamilyVariant in physics lane combat layer	verify_zombie_family_variants_slice_pass.py	runtime_ready
EncounterDirector	authored anchor, flanker, pressure, and sentinel variants	persist assigned variant by encounter-director id	Role marker now includes the family label while preserving role color and role tag	ApplyZombieFamilyVariant in SpawnEncounterDirectorLayer	verify_zombie_family_variants_slice_pass.py	runtime_ready
BossWarden	fixed EliteCharger boss family	do not persist because boss family is deterministic	Boss marker names the Elite Charger family and carries family audit tags	ApplyZombieFamilyVariant in SpawnBossForCity	verify_zombie_family_variants_slice_pass.py	runtime_ready
EliteWardenMiniBosses	authored charger, spitter, and boomer families	persist assigned variant by mini-boss id	Active sentinel markers name role plus family and keep warden runway tags	ApplyZombieFamilyVariant in SpawnEliteWardenMiniBossStagingLayer	verify_zombie_family_variants_slice_pass.py	runtime_ready
DogDenSetPiece	fixed DogZombie family	persist assigned variant by dog-den id	Fast-den markers name the Dog Zombie family and carry family audit tags	ApplyZombieFamilyVariant in city set-piece dog den	verify_zombie_family_variants_slice_pass.py	runtime_ready
LanguageBreachPatrol	fixed language-track patrol family	persist assigned variant by breach patrol id	Breach markers blend language color with family color and name the family	ApplyZombieFamilyVariant in coding world response route breach	verify_zombie_family_variants_slice_pass.py	runtime_ready
TerminalSolveHorde	weighted city selection via DT_ZombieVariants plus built-in safe rows	transient only; do not persist temporary defense-wave assignments	Horde markers name each city-selected family so the defense wave is readable	ApplyCityZombieFamilyVariant in TriggerBossHorde	verify_zombie_family_variants_slice_pass.py	runtime_ready
BoomerDeathAdds	default small infected family	transient only; do not persist short-lived death adds	Adds carry ZombieFamilyVariantRuntime and EliteBoomerSpawnFamily tags	OnBoomerDeath in CodeZombieActor	verify_zombie_family_variants_slice_pass.py	runtime_ready
BossPhaseAdds	default boss-add family	transient only; do not persist phase-pressure adds	Adds carry ZombieFamilyVariantRuntime and BossPhaseAddFamily tags	ABossZombieActor phase-three add spawn	verify_zombie_family_variants_slice_pass.py	runtime_ready
