option	settings_surface	persisted_field	live_effect	validation
Subtitles	Subtitles checkbox	bSubtitlesEnabled	Subtitle queue can be enabled or disabled and live captions clear immediately when disabled.	verify_expanded_accessibility_options_slice_pass.py plus verify_subtitle_accessibility_live_refresh_slice_pass.py
Subtitle size	Subtitle Size slider	SubtitleScale	Subtitle overlay font scale from 0.75x to 1.75x without changing menus, HUD, journal, terminal, or end-state UI text.	verify_expanded_accessibility_options_slice_pass.py plus verify_subtitle_accessibility_live_refresh_slice_pass.py
UI text size	UI Text Size slider	UITextScale	HUD, journal, terminal, skill tree, save slot, fast travel, tutorial, pause, minimap, damage feedback, and end-state text scale through the shared theme.	verify_ui_text_scale_settings_slice_pass.py plus verify_hud_vitals_theme_accessibility_slice_pass.py
High contrast	High Contrast HUD checkbox	bHighContrastHUD	The shared UI theme, HUD vitals, objective journal, damage feedback, terminal, skill tree, and save overlays use high-contrast colors.	verify_expanded_accessibility_options_slice_pass.py plus verify_objective_journal_accessibility_slice_pass.py
Color vision	Color Vision Mode cycle button	ColorblindMode	Standard, Deuteranope, Protanope, and Tritanope selections refresh active world color grading on Apply.	verify_expanded_accessibility_options_slice_pass.py plus verify_settings_color_vision_live_refresh_slice_pass.py
Reduced motion	Reduced Motion checkbox	bReducedMotion	Damage feedback, headshot feedback, minimap scans, beacons, boss reveals, extraction beats, and cinematic blocking notes use calmer motion paths.	verify_expanded_accessibility_options_slice_pass.py plus verify_damage_feedback_accessibility_slice_pass.py
Simplified input hints	Simplified Input Hints checkbox	bSimplifiedInputHints	HUD/control-summary copy can favor simplified input prompts while retaining the full control profile export path.	verify_expanded_accessibility_options_slice_pass.py plus verify_onboarding_input_glyph_slice_pass.py
Aim assist	Aim Assist Strength slider	AimAssistScale	Assisted hit radius and angle can be reduced to zero or increased for comfort.	verify_expanded_accessibility_options_slice_pass.py plus verify_settings_audio_accessibility_slice_pass.py
Reset defaults	Reset Accessibility Defaults button	cached_accessibility_defaults	Subtitles, subtitle scale, UI text scale, contrast, color vision, reduced motion, simplified hints, and aim assist can be queued back to safe defaults without changing audio mix.	verify_expanded_accessibility_options_slice_pass.py plus verify_ui_text_scale_settings_slice_pass.py
Settings readouts	Audio, Gameplay, and Accessibility readout text	runtime_preview_before_apply	Queued mix, FOV, sensitivity, aim, subtitle, UI text, contrast, color vision, motion, and hint state are readable before Apply.	verify_expanded_accessibility_options_slice_pass.py plus verify_ui_text_scale_settings_slice_pass.py
Control profile export	Export Control Profile button	ControlProfileName and ControlProfileExportCount	A reviewable runtime control-profile JSON can be exported for future remap/accessibility review.	verify_expanded_accessibility_options_slice_pass.py plus apply_control_remap_profile.py
