area	check	pass_signal
First Ten Minutes	Complete the onboarding flow from start through New York terminal/survivor/extraction	Player can proceed without external instructions.
Controls	Exercise every control in control_remap_manifest.tsv	Every input fires once and no modal UI leakage occurs.
Difficulty	Cycle Story, Easy, Normal, Hard, Survival, Nightmare from pause menu	Label updates, save persists, new spawns use expected multipliers.
Accessibility	Toggle subtitles, subtitle size, high contrast, color vision, reduced motion, simplified hints, aim assist, reset defaults, and control profile export	Each setting has an observable runtime effect, readouts preview queued changes before Apply, reset does not overwrite audio mix, and export writes a reviewable control profile.
Save Compatibility	Save, quit, relaunch, load, continue after terminal/survivor/zombie progress, and inspect death/victory language-run summaries	State restores without duplicate objectives or resource loss, and end-state screens identify the start-screen language resume slot.
SelectedLanguageTerminalFlow	Start new Java, C, C+, C++, Python, and MATLAB runs; resume at least two saved languages; submit one failed and one passing terminal attempt	Start screen always appears, each language has NEW and RESUME actions, terminals stay locked to the chosen track, validation output shows Language Run Lock, and attempts/solves update only that language save profile.
FirstSessionRoutePreview	Launch the game cold and after at least two language saves exist; inspect the start screen before choosing New or Resume	FIRST-SESSION ROUTE PREVIEW and LANGUAGE SAVE ROSTER appear before gameplay, explain protected terminal -> survivor marker -> extraction, name the language-only save slot/resume state, show Java, C, C+, C++, Python, and MATLAB as RESUME AVAILABLE or NEW RUN READY, and all New/Resume rows remain selectable.
TerminalPracticeRun	Start a selected-language terminal, enter a correct solution, press PRACTICE RUN [Ctrl+P], close/reopen the terminal, then press VALIDATE CODE; repeat with an incorrect solution	Practice output shows PRACTICE RUN - NO SAVE ADVANCE, PRACTICE-ONLY DEBRIEF, Practice Run Lock, unchanged save profile, no survivor route unlock, no ResearchPoints/coding score/attempt/streak/survivor intel archive update, and live validation remains available.
TerminalRewardChoiceKiosk	Live-solve a selected-language terminal, claim each reward option on separate fresh runs, close/reopen before claim, save/quit/resume before claim, then claim and attempt a second claim	Reward choice is unavailable after practice/bypass, available after live solve, persists through start-screen Resume until claimed, grants exactly one Research Boost, Field Kit, or Crafting Cache, disables after claim, and cannot be duplicated by reopening the terminal.
PersistentLearningDebrief	Solve or bypass a terminal in one selected-language run, close the terminal, open J, save/quit, relaunch from the start-screen Resume action, and open J again	LAST LEARNING DEBRIEF names the same language, save slot, challenge, concept, score, and saved post-solve or assisted learning takeaway before and after resume.
SurvivorIntelArchive	Solve or bypass a terminal in one selected-language run, open J, save/quit, relaunch from the start-screen Resume action for that language, open J again, rescue the matching survivor, save/relaunch again	SURVIVOR INTEL ARCHIVE names the same selected language, save slot, terminal, contact, route, score, and clean/assisted upload summary after resume, then updates to RESCUED after the survivor rescue persists.
FailSafeObjectiveBoard	Start a selected-language run, open J before terminal solve, solve the terminal, open J again on the survivor route, rescue the survivor, open J at extraction, save/quit, resume from the start screen, and open J again	FAIL-SAFE OBJECTIVE BOARD names the selected language, save slot, start-screen Resume availability, active route phase, return markers, T objective jump, Backspace/F8 safe recovery, J journal, P/Esc pause/save, protected terminal safety, and next action before and after resume.
ProtectedLearningZoneAI	Start a selected-language run, stand inside the safehouse/terminal lab, lure or spawn a zombie near the entrance, then step outside onto the city route	Inside the tagged learning space zombies do not chase, elite abilities do not fire, boomer/explosion damage is blocked, and zombie pressure resumes only after the player leaves the protected zone.
FriendlySafehouseNPCService	In one selected-language run, inspect the Civilian Support Hub, use Engineer, Medic, Scientist, and Trader services where preconditions allow, save/relaunch, then wait for a day-night flip and repeat one service	HUD prompts name each role benefit, used services remain unavailable after relaunch in that language profile, day-night reset refreshes the service list, and another language profile keeps its own support-service state.
FriendlyNPCGestureReadability	In one selected-language run, inspect Engineer, Medic, Scientist, and Trader NPCs, use one available service, retry a used service, try Medic while healthy, and try Trader without five scrap	idle support motion, success acknowledgment, cooldown refusal, precondition refusal, role light pulse, HUD service prompts, and selected-language cooldown persistence remain visible without moving the collision body.
PlayableOperatorIdentityRuntime	Start fresh Java and Python runs, create a save in each, return to the start screen, inspect the start-screen resume row, then resume each language and inspect HUD plus cast-stage ACTIVE OPERATOR PROFILE signage	Each language profile shows the expected saved operator callsign and role, the start-screen resume row names that operator, HUD displays Operator: callsign (role), and gameplay still begins from language selection rather than a separate character picker.
SurvivorArchetypeRoster	Start a selected-language run, approach the survivor before solving the terminal, solve the terminal, rescue the survivor, open the journal, save/relaunch, and inspect the route again	The survivor role marker, HUD prompt, relief-camp profile card, rescue subtitle, dispatch line, companion handoff, journal dossier, and selected-language save state agree on the survivor archetype, icon, field need, and rescue value.
SurvivorGestureReadability	Approach a survivor before terminal solve, attempt rescue, solve the selected-language terminal, then rescue the survivor while watching the body and rescue light	idle motion, locked refusal, rescue gesture, light pulse, immediate collision disable, delayed fade-out, and selected-language save updates are visible and do not disturb the start-screen resume flow.
StandardDirectPursuitZombies	Start a selected-language run, step out of the protected coding safehouse into the city route, let a regular/director/horde zombie acquire the player, then step back into the protected learning zone	The threat compass names standard pursuit state, captions call out pursuit/closing/attack windup, attacks wait for the readable telegraph before applying damage, and pressure stops inside protected coding space without breaking selected-language saves.
ZombieMotionReadability	Fight a regular/director/horde zombie outside the safehouse, shoot without killing it, let it attack once, then step back into protected learning space	chase sway, attack windup, lunge, hit recoil, and protected learning hold poses are visible without changing collision, save behavior, or coding-zone safety.
ZombiePhysicalAnimationHitReaction	Fight a promoted skeletal zombie outside the safehouse, land nonfatal body/head/limb hits, then kill it and repeat against an unpromoted fallback zombie	Promoted zombies briefly blend through PhysicalAnimationComponent hit flinches, fallback zombies still show launch/glow/pose feedback, living mesh collision resets, and death ragdoll or primitive corpse physics remains authoritative.
Visual Identity	Inspect New York entry, arena, safehouse, armory, terminal, survivor, helipad, character stage, and Mac hair-card/groom review intake	City identity reads clearly, route remains passable, and strand groom sources are not presented as packaged Mac runtime hair.
CityStreetGridStorefrontShell	Walk from the entry pad through downtown, civic, transit, medical, and survivor-search districts while inspecting roads, sidewalks, crosswalks, facades, shop doors, shop windows, awnings, and store-role labels	The route reads as an actual city street grid with ground-floor storefront shells, crosswalks and curb cues stay nonblocking, and storefront dressing remains a world-promotion target rather than blocking gameplay.
Route Access	Walk entry, armory, safehouse, language marker, terminal, survivor, and helipad critical path while brushing nearby dressing and cover	Route labels are readable, decorative route-adjacent actors remain nonblocking, and every critical access zone is passable without snagging on doors, stairs, cover, or fallback props.
Combat Readability	Fight default, elite, and boss-adjacent threats after zombie variant promotion validation	Windup, glow, damage direction, stagger, death feedback, promoted zombie meshes, and locomotion AnimBPs are legible.
HealthDamageSurvivability	Take repeated zombie hits with full health, armor, low health, medkits, and no medkits	The health label, damage alert, mitigation text, armor use, mercy window, per-hit cap, emergency medkit, critical callout, and death save/quit options are understandable and no healthy player is killed by one ordinary hit.
DeathReplaySaveQuitFlow	Force death in a selected-language run, use resume, force death again, then use save-and-quit and relaunch through the start screen	Death count persists, resume keeps the same language profile, replay starts from the city entry pad with health above zero, save-and-quit creates a start-screen language resume option, and fresh restart deletes only that language save.
ZombieFamilyVariants	Fight a regular city wave, physics ambush, encounter director wave, language breach patrol, dog den, terminal horde, elite mini-boss, boomer add, and boss phase add	Every threat carries a readable family label or tag, city-weighted variants stay consistent after save/load, and transient horde/add spawns remain readable without bloating save data.
EncounterDirectorAdaptivePressure	Load the survivor approach before terminal solve, after terminal solve, and from a low-health or low-ammo save	The DIRECTOR STATE board names objective/resource state, route-locked pressure feels lighter, route-open pressure feels urgent, relief pickups appear only for low-resource resumes, and role markers remain readable.
CollisionChannelGameplayContract	In one selected-language run, interact with a terminal, survivor, friendly NPC, pickup, case file, helipad, and Jeep; then fight zombies near barricades	E prompts resolve only usable objects, weapon fire still hits zombies and cover, zombie sight respects cover, pickups/case files collect, and the selected-language save flow is unchanged.
FixedTimestepPhysicsContract	Throw flares and smoke at physics targets, kill zombies, break barricades, drive the Jeep fallback over marked surfaces, and inspect stress-rig props	Throwable arcs, impact nudges, ragdoll/fallback corpse motion, debris retirement, Jeep surface cues, and loose props stay readable across frame-rate swings while actors/components carry fixed-step review tags.
DestructibleCoverPhysics	Fight through the physics ambush and encounter director cover using shots, melee, throwables, and zombie pressure	Wood barricades visibly crack, break into short-lived debris, zombies attack blocking cover, and the player can use cover without active debris or fallback props trapping the route.
RetargetControlRigSlots	Inspect player, first-person arms, survivor, friendly NPC, companion, zombie, and boss skeletal actors after runtime spawn	Every live skeletal path carries IK/Control Rig slot tags, keeps its fallback animation readable, and has a documented promotion target for authored IK Rig, IK Retargeter, Control Rig, and Maya cleanup work.
