contract	runtime_surface	implementation	validation
Start screen language choice	UCodeRescueMainMenuWidget launch-only mode	Java, C, C+, C++, Python, and MATLAB each expose NEW and RESUME actions before active play	verify_selected_language_terminal_flow_slice_pass.py
First-session route preview	UCodeRescueMainMenuWidget::FirstSessionRoutePreviewText + UCodeRescueGameInstance::GetFirstSessionRoutePreviewSummary + GetLaunchLanguageSaveRosterSummary	FIRST-SESSION ROUTE PREVIEW appears before gameplay, names the selected/default track-only slot, lists Java/C/C+/C++/Python/MATLAB save availability in LANGUAGE SAVE ROSTER, and explains protected terminal -> survivor marker -> extraction plus NEW/RESUME language-save continuity	verify_first_session_route_preview_slice_pass.py
Language-specific save slots	UCodeRescueGameInstance	MakeLanguageSaveSlotName, StartFreshLanguageRun, ResumeLanguageRun, SavePersistentRun, and LoadPersistentRun isolate progress by selected language	verify_selected_language_terminal_flow_slice_pass.py
Active play language lock	ACodeRescueGameMode and ALanguageStationActor	Gameplay terminals inherit GI->SelectedLanguage and off-track language stations cannot switch the run after deployment	verify_launch_language_start_screen_save_pass.py
Terminal locked-track cue	UCodeTerminalWidget	LOCKED TRACK and save-profile banner tells the player that progress, hints, attempts, and solves stay in the chosen language	verify_terminal_language_track_ux_pass.py
Validation save confirmation	UCodeTerminalWidget::OnValidateClicked	Language Run Lock output names the active track, save profile updated, and future start-screen resume path after terminal validation	verify_selected_language_terminal_flow_slice_pass.py
Practice-only terminal option	UCodeTerminalWidget::RunValidation + PracticeRunButton	Practice Run Lock output names the active track and unchanged save profile; only VALIDATE CODE updates the save and survivor route	verify_terminal_practice_run_slice_pass.py
Reward choice kiosk	UCodeTerminalWidget + UCodeRescueGameInstance::ClaimTerminalRewardChoice	Reward choice output names the active track and saved slot; one live-solve reward claim persists across start-screen Resume	verify_terminal_reward_choice_kiosk_slice_pass.py
Post-solve learning continuity	UCodeTerminalWidget	POST-SOLVE DEBRIEF and REPAIR DEBRIEF describe selected-language transfer, repair tactics, survivor route unlock, and language progress	verify_terminal_post_solve_debrief_slice_pass.py
Curriculum shape fallback	UCodeRunnerLibrary::ValidateInEngine	C reverse output-buffer solutions are accepted when they mirror input[length - 1 - i] into output and terminate the buffer	verify_curriculum_validator_shapes.py
Human review	manual QA	Start new and resumed runs across languages, submit failed and passing attempts, quit/relaunch, and confirm each language resume stays isolated	human_qa_signoff_checklist.tsv
