code_name	role	silhouette	gameplay_function	unreal_pipeline	spawn_layer
Rhea Calder	Evac captain and playable survivor-body target	tactical coat, radio harness, cyan route lamp	frontline survivor rescue identity and future playable variant with survivor rescue dialogue handoff	MetaHuman-ready skeletal override, Control Rig facial slot, IK Retargeter locomotion	SpawnUnrealSystemsCharacterWorldLayer
Mika Stone	Field medic with Mac hair-card/mesh fallback	short jacket, red medical rig, warm headlamp	healing NPC and rescue bark target	MetaHuman-ready mesh, Mac hair-card/mesh fallback, strand groom review-only cue	SpawnUnrealSystemsCharacterWorldLayer
Noor Vance	Signal scientist with Control Rig facial slots	lab field vest, violet scanner, compact tablet	research NPC, terminal hint giver, AI-safehouse support	Control Rig facial slot, AnimBP class, Sequencer rescue beat	SpawnUnrealSystemsCharacterWorldLayer
Jules Ardent	Field trader and quest reward economy test	green utility vest, ledger pouch, supply cases	trader NPC, quest reward balancing, resource loop test	QuestMissionKitReady, MetaHuman-ready mesh, Blueprint interaction validation	SpawnUnrealSystemsCharacterWorldLayer
Ilan Cross	Retargeted companion locomotion target	amber patrol jacket, compact pack, sidearm holster	companion movement and over-the-shoulder readability test	IKRetargeterReady, retargeted Manny/Quinn locomotion, behavior handoff	SpawnUnrealSystemsCharacterWorldLayer
The Redline Warden	elite outbreak director silhouette	tall asymmetrical coat, red optic, broken restraint rig	boss family concept for staged encounters and pressure pacing	Control Rig, IK retarget, Chaos hit reactions, Sequencer intro beat	BossZombieActor and future authored boss Blueprint
The Glass Ward	city-safehouse faction identity	clear shield panels, cyan triage marks, collectible paper case files	environment storytelling, readable shelter zones, quest boards, selected-language case-file saves	PCG safehouse cells, WorldPartitionReady review blocks, DataValidation, SpawnCollectibleCaseFilesForCity	SpawnCharacterWorldRealizationLayer and SpawnCollectibleCaseFilesForCity
The Broken Grid	novel city-world material identity	wet asphalt, low lamps, modular power conduits, route stripes	world aesthetic direction for survival-horror coding routes	HoudiniProceduralWorldDesign, PCGRouteSplineReady, Niagara weather hooks	SpawnUnrealSystemsCharacterWorldLayer
The Signal Concord	surviving engineer network faction	tablets, radios, cyan repair tape, field routing lights	allied safehouse lore, coding-as-empowerment premise, city rescue continuity	CanonicalLoreContract, WorldBibleLoreLayer, PerCityLoreData, DataValidation	SpawnWorldBibleLoreLayer
The Orphaned Automata	abandoned automation antagonist	locked gates, dead server panels, amber warning relays, broken route printouts	technology-rule boundary, environmental antagonist, why code changes physical routes	CanonicalLoreContract, TechnologyRulesReadable, AutomationAntagonistForce, RuntimeDataLayer_Mode_Storytelling	SpawnWorldBibleLoreLayer
